Rv#,Product,Gene ,Sub-classification,MT,MT#,#TA,TotalTA/Group
1838,conserved hypothetical protein,,Conserved Hypotheticals,MT1886,1886,10
1839,conserved hypothetical protein,,Conserved Hypotheticals,MT1887,1887,2
1847,conserved hypothetical protein,,Conserved Hypotheticals,MT1895,1895,5
1864,conserved hypothetical protein,,Conserved Hypotheticals,MT1913,1913,9
1866,conserved hypothetical protein,,Conserved Hypotheticals,MT1915,1915,35
1868,conserved hypothetical protein,,Conserved Hypotheticals,MT1917,1917,32
1875,conserved hypothetical protein,,Conserved Hypotheticals,MT1924,1924,5
1879,conserved hypothetical protein,,Conserved Hypotheticals,MT1928,1928,19
1883,conserved hypothetical protein,,Conserved Hypotheticals,MT1931.1,1931.1,6
1884,conserved hypothetical protein,,Conserved Hypotheticals,MT1932,1932,7
1889,conserved hypothetical protein,,Conserved Hypotheticals,MT1937,1937,4
1896,conserved hypothetical protein,,Conserved Hypotheticals,MT1947,1947,24
1897,conserved hypothetical protein,,Conserved Hypotheticals,MT1948,1948,7
1898,conserved hypothetical protein,,Conserved Hypotheticals,MT1949,1949,3
1904,conserved hypothetical protein,,Conserved Hypotheticals,MT1955,1955,10
1906,conserved hypothetical protein,,Conserved Hypotheticals,MT1957,1957,9
1930,conserved hypothetical protein,,Conserved Hypotheticals,MT1980.2,1980.2,5
1942,conserved hypothetical protein,,Conserved Hypotheticals,MT1992,1992,2
1943,conserved hypothetical protein,,Conserved Hypotheticals,MT1993,1993,10
1949,conserved hypothetical protein,,Conserved Hypotheticals,MT1999,1999,18
1950,conserved hypothetical protein,,Conserved Hypotheticals,MT2000,2000,6
1951,conserved hypothetical protein,,Conserved Hypotheticals,MT2001,2001,9
1952,conserved hypothetical protein,,Conserved Hypotheticals,MT2002,2002,2
1953,conserved hypothetical protein,,Conserved Hypotheticals,MT2003,2003,12
1959,conserved hypothetical protein,,Conserved Hypotheticals,MT2008,2008,7
1962,conserved hypothetical protein,,Conserved Hypotheticals,MT2012,2012,14
1972,conserved hypothetical protein,,Conserved Hypotheticals,MT2024,2024,5
1973,conserved hypothetical protein,,Conserved Hypotheticals,MT2024.1,2024.1,4
1974,conserved hypothetical protein,,Conserved Hypotheticals,MT2025,2025,8
1982,conserved hypothetical protein,,Conserved Hypotheticals,MT2034,2034,5
1991,conserved hypothetical protein,,Conserved Hypotheticals,MT2046,2046,6
1993,conserved hypothetical protein,,Conserved Hypotheticals,MT2049,2049,7
1996,conserved hypothetical protein,,Conserved Hypotheticals,MT2052,2052,29
1998,conserved hypothetical protein,,Conserved Hypotheticals,MT2054,2054,26
2001,conserved hypothetical protein,,Conserved Hypotheticals,MT2057,2057,9
2003,conserved hypothetical protein,,Conserved Hypotheticals,MT2059,2059,26
2005,conserved hypothetical protein,,Conserved Hypotheticals,MT2061,2061,82
2008,conserved hypothetical protein,,Conserved Hypotheticals,MT2064,2064,4
2009,conserved hypothetical protein,,Conserved Hypotheticals,MT2064.1,2064.1,4
2010,conserved hypothetical protein,,Conserved Hypotheticals,MT2065,2065,7
2015,conserved hypothetical protein,,Conserved Hypotheticals,MT2071,2071,11
2018,conserved hypothetical protein,,Conserved Hypotheticals,MT2074,2074,15
2022,conserved hypothetical protein,,Conserved Hypotheticals,MT2078,2078,13
2024,conserved hypothetical protein,,Conserved Hypotheticals,MT2082,2082,78
2026,conserved hypothetical protein,,Conserved Hypotheticals,MT2085,2085,11
2028,conserved hypothetical protein,,Conserved Hypotheticals,MT2087,2087,13
2030,conserved hypothetical protein,,Conserved Hypotheticals,MT2089,2089,34
2032,conserved hypothetical protein,,Conserved Hypotheticals,MT2091,2091,18
2042,conserved hypothetical protein,,Conserved Hypotheticals,MT2102,2102,15
2047,conserved hypothetical protein,,Conserved Hypotheticals,MT2107,2107,32
2050,conserved hypothetical protein,,Conserved Hypotheticals,MT2110,2110,5
2053,conserved hypothetical protein,,Conserved Hypotheticals,MT2113,2113,5
2059,conserved hypothetical protein,,Conserved Hypotheticals,MT2119,2119,20
2067,conserved hypothetical protein,,Conserved Hypotheticals,MT2127,2127,34
2077,conserved hypothetical protein,,Conserved Hypotheticals,MT2137,2137,19
2082,conserved hypothetical protein,,Conserved Hypotheticals,MT2144,2144,43
2083,conserved hypothetical protein,,Conserved Hypotheticals,MT2145,2145,6
2094,conserved hypothetical protein,,Conserved Hypotheticals,MT2155,2155,5
2095,conserved hypothetical protein,,Conserved Hypotheticals,MT2156,2156,15
2096,conserved hypothetical protein,,Conserved Hypotheticals,MT2157,2157,15
2097,conserved hypothetical protein,,Conserved Hypotheticals,MT2158,2158,21
2100,conserved hypothetical protein,,Conserved Hypotheticals,MT2160,2160,19
2102,conserved hypothetical protein,,Conserved Hypotheticals,MT2162,2162,14
2103,conserved hypothetical protein,,Conserved Hypotheticals,MT2163,2163,5
2104,conserved hypothetical protein,,Conserved Hypotheticals,MT2164,2164,1
2111,conserved hypothetical protein,,Conserved Hypotheticals,MT2171,2171,1
2112,conserved hypothetical protein,,Conserved Hypotheticals,MT2172,2172,30
2117,conserved hypothetical protein,,Conserved Hypotheticals,MT2177,2177,2
2118,conserved hypothetical protein,,Conserved Hypotheticals,MT2178,2178,14
2119,conserved hypothetical protein,,Conserved Hypotheticals,MT2179,2179,20
2125,conserved hypothetical protein,,Conserved Hypotheticals,MT2184,2184,10
2132,conserved hypothetical protein,,Conserved Hypotheticals,MT2190,2190,3
2133,conserved hypothetical protein,,Conserved Hypotheticals,MT2191,2191,9
2134,conserved hypothetical protein,,Conserved Hypotheticals,MT2192,2192,8
2135,conserved hypothetical protein,,Conserved Hypotheticals,MT2193,2193,5
2137,conserved hypothetical protein,,Conserved Hypotheticals,MT2195,2195,6
2140,conserved hypothetical protein,,Conserved Hypotheticals,MT2198,2198,11
2143,conserved hypothetical protein,,Conserved Hypotheticals,MT2202,2202,14
2148,conserved hypothetical protein,,Conserved Hypotheticals,MT2207,2207,9
2149,YFIH_STRGR P45496,yfiH,Conserved Hypotheticals,MT2208,2208,7
2165,conserved hypothetical protein,,Conserved Hypotheticals,MT2223,2223,19
2166,conserved hypothetical protein,,Conserved Hypotheticals,MT2224,2224,8
2182,conserved hypothetical protein,,Conserved Hypotheticals,MT2237,2237,21
2184,conserved hypothetical protein,,Conserved Hypotheticals,MT2239,2239,18
2185,conserved hypothetical protein,,Conserved Hypotheticals,MT2240,2240,13
2186,conserved hypothetical protein,,Conserved Hypotheticals,MT2241,2241,9
2188,conserved hypothetical protein,,Conserved Hypotheticals,MT2243,2243,19
2204,conserved hypothetical protein,,Conserved Hypotheticals,MT2260,2260,4
2205,conserved hypothetical protein,,Conserved Hypotheticals,MT2261,2261,14
2212,conserved hypothetical protein,,Conserved Hypotheticals,MT2268,2268,11
2216,conserved hypothetical protein,,Conserved Hypotheticals,MT2273,2273,12
2230,conserved hypothetical protein,,Conserved Hypotheticals,MT2289,2289,21
2237,conserved hypothetical protein,,Conserved Hypotheticals,MT2296,2296,18
2239,Hypothetical protein,,Conserved Hypotheticals,MT2299,2299,4
2242,Hypothetical protein,,Conserved Hypotheticals,MT2302,2302,17
2248,conserved hypothetical protein,,Conserved Hypotheticals,MT2308,2308,12
2251,conserved hypothetical protein,,Conserved Hypotheticals,MT2311,2311,10
2252,conserved hypothetical protein,,Conserved Hypotheticals,MT2312,2312,17
2256,conserved hypothetical protein,,Conserved Hypotheticals,MT2317,2317,5
2260,conserved hypothetical protein,,Conserved Hypotheticals,MT2321,2321,6
2264,conserved hypothetical protein,,Conserved Hypotheticals,MT2324,2324,31
2272,conserved hypothetical protein,,Conserved Hypotheticals,MT2333,2333,4
2285,conserved hypothetical protein,,Conserved Hypotheticals,MT2343,2343,22
2286,conserved hypothetical protein,,Conserved Hypotheticals,MT2344,2344,10
2295,conserved hypothetical protein,,Conserved Hypotheticals,MT2352,2352,11
2298,conserved hypothetical protein,,Conserved Hypotheticals,MT2355,2355,17
2300,conserved hypothetical protein,,Conserved Hypotheticals,MT2357,2357,17
2302,conserved hypothetical protein,,Conserved Hypotheticals,MT2359,2359,4
2307,conserved hypothetical protein,,Conserved Hypotheticals,MT2364,2364,20
2314,conserved hypothetical protein,,Conserved Hypotheticals,MT2377,2377,16
2315,conserved hypothetical protein,,Conserved Hypotheticals,MT2378,2378,33
2323,conserved hypothetical protein,,Conserved Hypotheticals,MT2385,2385,22
2325,conserved hypothetical protein,,Conserved Hypotheticals,MT2387,2387,9
2327,conserved hypothetical protein,,Conserved Hypotheticals,MT2389,2389,5
2346,conserved hypothetical protein,,Conserved Hypotheticals,MT2411,2411,4
2347,conserved hypothetical protein,,Conserved Hypotheticals,MT2412,2412,3
2361,conserved hypothetical protein,,Conserved Hypotheticals,MT2430,2430,17
2362,conserved hypothetical protein,,Conserved Hypotheticals,MT2431,2431,11
2365,conserved hypothetical protein,,Conserved Hypotheticals,MT2434,2434,3
2366,conserved hypothetical protein,,Conserved Hypotheticals,MT2435,2435,19
2367,conserved hypothetical protein,,Conserved Hypotheticals,MT2436,2436,8
2370,conserved hypothetical protein,,Conserved Hypotheticals,MT2439,2439,20
2372,conserved hypothetical protein,,Conserved Hypotheticals,MT2441,2441,6
2376,conserved hypothetical protein,,Conserved Hypotheticals,MT2445,2445,2
2387,conserved hypothetical protein,,Conserved Hypotheticals,MT2456,2456,25
2389,conserved hypothetical protein,,Conserved Hypotheticals,MT2458,2458,9
2390,conserved hypothetical protein,,Conserved Hypotheticals,MT2459,2459,6
2393,conserved hypothetical protein,,Conserved Hypotheticals,MT2463,2463,7
2402,conserved hypothetical protein,,Conserved Hypotheticals,MT2474,2474,28
2406,conserved hypothetical protein,,Conserved Hypotheticals,MT2478,2478,7
2407,conserved hypothetical protein,,Conserved Hypotheticals,MT2479,2479,11
2409,conserved hypothetical protein,,Conserved Hypotheticals,MT2482,2482,20
2410,conserved hypothetical protein,,Conserved Hypotheticals,MT2483,2483,11
2411,conserved hypothetical protein,,Conserved Hypotheticals,MT2484,2484,24
2413,conserved hypothetical protein,,Conserved Hypotheticals,MT2486,2486,14
2414,conserved hypothetical protein,,Conserved Hypotheticals,MT2487,2487,12
2415,conserved hypothetical protein,,Conserved Hypotheticals,MT2488,2488,11
2416,conserved hypothetical protein,,Conserved Hypotheticals,MT2489,2489,27
2417,conserved hypothetical protein,,Conserved Hypotheticals,MT2490,2490,12
2420,conserved hypothetical protein,,Conserved Hypotheticals,MT2493,2493,4
2421,conserved hypothetical protein,,Conserved Hypotheticals,MT2494,2494,14
2425,conserved hypothetical protein,,Conserved Hypotheticals,MT2498,2498,18
2426,conserved hypothetical protein,,Conserved Hypotheticals,MT2499,2499,10
2437,conserved hypothetical protein,,Conserved Hypotheticals,MT2512,2512,9
2438,conserved hypothetical protein,,Conserved Hypotheticals,MT2513,2513,41
2449,conserved hypothetical protein,,Conserved Hypotheticals,MT2525,2525,27
2450,conserved hypothetical protein,,Conserved Hypotheticals,MT2526,2526,8
2458,conserved hypothetical protein,,Conserved Hypotheticals,MT2533,2533,16
2466,conserved hypothetical protein,,Conserved Hypotheticals,MT2541,2541,14
2469,conserved hypothetical protein,,Conserved Hypotheticals,MT2545,2545,9
2475,conserved hypothetical protein,,Conserved Hypotheticals,MT2550,2550,8
2484,conserved hypothetical protein,,Conserved Hypotheticals,MT2557,2557,22
2493,conserved hypothetical protein,,Conserved Hypotheticals,MT2568,2568,0
2494,conserved hypothetical protein,,Conserved Hypotheticals,MT2569,2569,5
2510,conserved hypothetical protein,,Conserved Hypotheticals,MT2585,2585,16
2511,conserved hypothetical protein,,Conserved Hypotheticals,MT2586,2586,8
2520,conserved hypothetical protein,,Conserved Hypotheticals,MT2596,2596,1
2522,conserved hypothetical protein,,Conserved Hypotheticals,MT2598,2598,19
2526,conserved hypothetical protein,,Conserved Hypotheticals,MT2601.2,2601.1,9
2527,conserved hypothetical protein,,Conserved Hypotheticals,MT2602,2602,9
2530,conserved hypothetical protein,,Conserved Hypotheticals,MT2605,2605,3
2542,conserved hypothetical protein,,Conserved Hypotheticals,MT2616,2616,9
2545,conserved hypothetical protein,,Conserved Hypotheticals,MT2621,2621,10
2546,conserved hypothetical protein,,Conserved Hypotheticals,MT2622,2622,9
2547,conserved hypothetical protein,,Conserved Hypotheticals,MT2623,2623,3
2548,conserved hypothetical protein,,Conserved Hypotheticals,MT2624,2624,5
2556,conserved hypothetical protein,,Conserved Hypotheticals,MT2633,2633,5
2557,conserved hypothetical protein,,Conserved Hypotheticals,MT2634,2634,12
2558,conserved hypothetical protein,,Conserved Hypotheticals,MT2635,2635,7
2559,conserved hypothetical protein,,Conserved Hypotheticals,MT2636,2636,15
2565,conserved hypothetical protein,,Conserved Hypotheticals,MT2641,2641,26
2567,conserved hypothetical protein,,Conserved Hypotheticals,MT2643,2643,39
2568,conserved hypothetical protein,,Conserved Hypotheticals,MT2644,2644,17
2569,conserved hypothetical protein,,Conserved Hypotheticals,MT2645,2645,23
2571,conserved hypothetical protein,,Conserved Hypotheticals,MT2647,2647,9
2575,conserved hypothetical protein,,Conserved Hypotheticals,MT2651,2651,18
2585,conserved hypothetical protein,,Conserved Hypotheticals,MT2662,2662,27
2588,conserved hypothetical protein,,Conserved Hypotheticals,MT2665,2665,2
2596,conserved hypothetical protein,,Conserved Hypotheticals,MT2672,2672,8
2599,conserved hypothetical protein,,Conserved Hypotheticals,MT2674,2674,12
2600,conserved hypothetical protein,,Conserved Hypotheticals,MT2674.1,2674.1,12
2602,conserved hypothetical protein,,Conserved Hypotheticals,MT2677,2677,7
2603,conserved hypothetical protein,,Conserved Hypotheticals,MT2678,2678,7
2604,conserved hypothetical protein,,Conserved Hypotheticals,MT2679,2679,4
2606,conserved hypothetical protein,,Conserved Hypotheticals,MT2681,2681,12
2609,conserved hypothetical protein,,Conserved Hypotheticals,MT2684,2684,13
2611,conserved hypothetical protein,,Conserved Hypotheticals,MT2686,2686,14
2613,conserved hypothetical protein,,Conserved Hypotheticals,MT2688,2688,9
2618,conserved hypothetical protein,,Conserved Hypotheticals,MT2693,2693,11
2620,conserved hypothetical protein,,Conserved Hypotheticals,MT2695,2695,6
2623,conserved hypothetical protein,,Conserved Hypotheticals,MT2698,2698,8
2624,conserved hypothetical protein,,Conserved Hypotheticals,MT2699,2699,11
2625,conserved hypothetical protein,,Conserved Hypotheticals,MT2700,2700,19
2626,conserved hypothetical protein,,Conserved Hypotheticals,MT2701,2701,6
2627,conserved hypothetical protein,,Conserved Hypotheticals,MT2702,2702,21
2631,conserved hypothetical protein,,Conserved Hypotheticals,MT2707,2707,22
2632,conserved hypothetical protein,,Conserved Hypotheticals,MT2708,2708,3
2637,conserved hypothetical protein,,Conserved Hypotheticals,MT2715,2715,10
2638,conserved hypothetical protein,,Conserved Hypotheticals,MT2716,2716,5
2639,conserved hypothetical protein,,Conserved Hypotheticals,MT2717,2717,7
2641,conserved hypothetical protein,,Conserved Hypotheticals,MT2719,2719,7
2665,conserved hypothetical protein,,Conserved Hypotheticals,MT2739,2739,6
2670,conserved hypothetical protein,,Conserved Hypotheticals,MT2744,2744,18
2676,conserved hypothetical protein,,Conserved Hypotheticals,MT2750,2750,13
2680,conserved hypothetical protein,,Conserved Hypotheticals,MT2754,2754,9
2681,conserved hypothetical protein,,Conserved Hypotheticals,MT2755,2755,19
2683,conserved hypothetical protein,,Conserved Hypotheticals,MT2757,2757,11
2693,conserved hypothetical protein,,Conserved Hypotheticals,MT2767,2767,12
2694,conserved hypothetical protein,,Conserved Hypotheticals,MT2768,2768,13
2695,conserved hypothetical protein,,Conserved Hypotheticals,MT2769,2769,10
2696,conserved hypothetical protein,,Conserved Hypotheticals,MT2770,2770,10
2698,conserved hypothetical protein,,Conserved Hypotheticals,MT2772,2772,12
2699,conserved hypothetical protein,,Conserved Hypotheticals,MT2773,2773,4
2700,conserved hypothetical protein,,Conserved Hypotheticals,MT2774,2774,8
2704,conserved hypothetical protein,,Conserved Hypotheticals,MT2777.1,2777.1,11
2707,conserved hypothetical protein,,Conserved Hypotheticals,MT2780,2780,28
2708,conserved hypothetical protein,,Conserved Hypotheticals,MT2781,2781,7
2709,conserved hypothetical protein,,Conserved Hypotheticals,MT2782,2782,11
2714,conserved hypothetical protein,,Conserved Hypotheticals,MT2787,2787,16
2716,conserved hypothetical protein,,Conserved Hypotheticals,MT2789,2789,10
2717,conserved hypothetical protein,,Conserved Hypotheticals,MT2790,2790,10
2718,conserved hypothetical protein,,Conserved Hypotheticals,MT2791,2791,8
2719,conserved hypothetical protein,,Conserved Hypotheticals,MT2792,2792,5
2721,conserved hypothetical protein,,Conserved Hypotheticals,MT2794,2794,29
2728,conserved hypothetical protein,,Conserved Hypotheticals,MT2800,2800,11
2729,conserved hypothetical protein,,Conserved Hypotheticals,MT2801,2801,11
2732,conserved hypothetical protein,,Conserved Hypotheticals,MT2802.1,2802.1,6
2733,conserved hypothetical protein,,Conserved Hypotheticals,MT2803,2803,2
2738,conserved hypothetical protein,,Conserved Hypotheticals,MT2808,2808,7
2740,conserved hypothetical protein,,Conserved Hypotheticals,MT2810,2809,7
2742,conserved hypothetical protein,,Conserved Hypotheticals,MT2813,2813,15
2743,conserved hypothetical protein,,Conserved Hypotheticals,MT2814,2814,12
2744,35-kD antigen,35kD_ag,Conserved Hypotheticals,MT2815,2815,9
2747,conserved hypothetical protein,,Conserved Hypotheticals,MT2818,2818,7
2751,conserved hypothetical protein,,Conserved Hypotheticals,MT2821,2821,23
2752,conserved hypothetical protein,,Conserved Hypotheticals,MT2822,2822,19
2754,conserved hypothetical protein,,Conserved Hypotheticals,MT2824,2824,9
2757,conserved hypothetical protein,,Conserved Hypotheticals,MT2827,2827,8
2758,conserved hypothetical protein,,Conserved Hypotheticals,MT2828,2828,5
2759,conserved hypothetical protein,,Conserved Hypotheticals,MT2829,2829,9
2760,conserved hypothetical protein,,Conserved Hypotheticals,MT2830,2830,2
2778,conserved hypothetical protein,,Conserved Hypotheticals,MT2848,2848,9
2787,conserved hypothetical protein,,Conserved Hypotheticals,MT2857,2857,27
2794,conserved hypothetical protein,,Conserved Hypotheticals,MT2863,2863,9
2797,conserved hypothetical protein,,Conserved Hypotheticals,MT2866,2866,24
2798,conserved hypothetical protein,,Conserved Hypotheticals,MT2867,2867,3
2800,conserved hypothetical protein,,Conserved Hypotheticals,MT2868,2868,20
2801,conserved hypothetical protein,,Conserved Hypotheticals,MT2869,2869,5
2807,conserved hypothetical protein,,Conserved Hypotheticals,MT2874,2874,11
2811,conserved hypothetical protein,,Conserved Hypotheticals,MT2878,2878,2
2816,conserved hypothetical protein,,Conserved Hypotheticals,MT2883,2883,14
2817,conserved hypothetical protein,,Conserved Hypotheticals,MT2884,2884,21
2821,conserved hypothetical protein,,Conserved Hypotheticals,MT2888,2888,13
2823,conserved hypothetical protein,,Conserved Hypotheticals,MT2890,2890,49
2825,conserved hypothetical protein,,Conserved Hypotheticals,MT2892,2892,7
2828,conserved hypothetical protein,,Conserved Hypotheticals,MT2895.1,2895.1,5
2829,conserved hypothetical protein,,Conserved Hypotheticals,MT2896,2896,7
2837,conserved hypothetical protein,,Conserved Hypotheticals,MT2903,2903,13
2840,conserved hypothetical protein,,Conserved Hypotheticals,MT2906,2906,7
2842,conserved hypothetical protein,,Conserved Hypotheticals,MT2908,2908,7
2851,conserved hypothetical protein,,Conserved Hypotheticals,MT2917,2917,8
2852,conserved hypothetical protein,,Conserved Hypotheticals,MT2918,2918,21
2859,conserved hypothetical protein,,Conserved Hypotheticals,MT2927,2927,16
2862,conserved hypothetical protein,,Conserved Hypotheticals,MT2930,2930,5
2863,conserved hypothetical protein,,Conserved Hypotheticals,MT2932,2932,4
2866,conserved hypothetical protein,,Conserved Hypotheticals,MT2934,2934,15
2868,essential gene of unknown function,gcpE,Conserved Hypotheticals,MT2936,2936,14
2870,conserved hypothetical protein,,Conserved Hypotheticals,MT2938,2938,16
2872,conserved hypothetical protein,,Conserved Hypotheticals,MT2939,2939,10
2879,conserved hypothetical protein,,Conserved Hypotheticals,MT2947,2946,7
2880,conserved hypothetical protein,,Conserved Hypotheticals,MT2947,2947,18
2896,conserved hypothetical protein,,Conserved Hypotheticals,MT2964,2964,20
2897,conserved hypothetical protein,,Conserved Hypotheticals,MT2965,2965,11
2898,conserved hypothetical protein,,Conserved Hypotheticals,MT2966,2966,4
2908,conserved hypothetical protein,,Conserved Hypotheticals,MT2976,2976,6
2910,conserved hypothetical protein,,Conserved Hypotheticals,MT2978,2978,10
2915,conserved hypothetical protein,,Conserved Hypotheticals,MT2983,2983,12
2917,conserved hypothetical protein,,Conserved Hypotheticals,MT2985,2985,24
2923,conserved hypothetical protein,,Conserved Hypotheticals,MT2992,2992,5
2927,conserved hypothetical protein,,Conserved Hypotheticals,MT2997,2997,12
2953,conserved hypothetical protein,,Conserved Hypotheticals,MT3027,3027,25
2955,conserved hypothetical protein,,Conserved Hypotheticals,MT3029,3029,20
2956,conserved hypothetical protein,,Conserved Hypotheticals,MT3030,3030,18
2961,conserved hypothetical protein,,Conserved Hypotheticals,MT3037,3037,6
2966,conserved hypothetical protein,,Conserved Hypotheticals,MT3044,3044,7
2974,conserved hypothetical protein,,Conserved Hypotheticals,MT3052,3052,20
2975,conserved hypothetical protein,,Conserved Hypotheticals,MT3052.1,3052.1,3
2983,conserved hypothetical protein,,Conserved Hypotheticals,MT3061,3061,6
2991,conserved hypothetical protein,,Conserved Hypotheticals,MT3069,3069,6
2993,conserved hypothetical protein,,Conserved Hypotheticals,MT3071,3071,9
3000,conserved hypothetical protein,,Conserved Hypotheticals,MT3080,3080,8
3005,conserved hypothetical protein,,Conserved Hypotheticals,MT3085,3085,21
3013,conserved hypothetical protein,,Conserved Hypotheticals,MT3093,3093,9
3015,conserved hypothetical protein,,Conserved Hypotheticals,MT3095,3095,9
3017,conserved hypothetical protein,,Conserved Hypotheticals,MT3097,3097,10
3024,conserved hypothetical protein,,Conserved Hypotheticals,MT3108,3108,13
3030,conserved hypothetical protein,,Conserved Hypotheticals,MT3114,3114,11
3031,conserved hypothetical protein,,Conserved Hypotheticals,MT3115,3115,20
3032,conserved hypothetical protein,,Conserved Hypotheticals,MT3116,3116,10
3034,conserved hypothetical protein,,Conserved Hypotheticals,MT3119,3119,13
3046,conserved hypothetical protein,,Conserved Hypotheticals,MT3131,3131,2
3054,conserved hypothetical protein,,Conserved Hypotheticals,MT3140,3140,7
3064,conserved hypothetical protein,,Conserved Hypotheticals,MT3150,3150,9
3067,conserved hypothetical protein,,Conserved Hypotheticals,MT3152,3152,8
3073,conserved hypothetical protein,,Conserved Hypotheticals,MT3158,3158,4
3074,conserved hypothetical protein,,Conserved Hypotheticals,MT3159,3159,15
3075,conserved hypothetical protein,,Conserved Hypotheticals,MT3160,3160,16
3076,conserved hypothetical protein,,Conserved Hypotheticals,MT3161,3161,5
3087,conserved hypothetical protein,,Conserved Hypotheticals,MT3172,3172,14
3088,conserved hypothetical protein,,Conserved Hypotheticals,MT3173,3173,13
3094,conserved hypothetical protein,,Conserved Hypotheticals,MT3178,3178,12
3104,conserved hypothetical protein,,Conserved Hypotheticals,MT3187,3187,11
3127,conserved hypothetical protein,,Conserved Hypotheticals,MT3212,3212,19
3128,conserved hypothetical protein,,Conserved Hypotheticals,MT3214,3214,30
3129,conserved hypothetical protein,,Conserved Hypotheticals,MT3215,3215,4
3130,conserved hypothetical protein,,Conserved Hypotheticals,MT3216,3216,27
3131,conserved hypothetical protein,,Conserved Hypotheticals,MT3217,3217,15
3134,conserved hypothetical protein,,Conserved Hypotheticals,MT3220,3220,9
3166,conserved hypothetical protein,,Conserved Hypotheticals,MT3255,3255,16
3168,conserved hypothetical protein,,Conserved Hypotheticals,MT3257,3257,19
3169,conserved hypothetical protein,,Conserved Hypotheticals,MT3258,3258,21
3178,conserved hypothetical protein,,Conserved Hypotheticals,MT3267,3267,9
3179,conserved hypothetical protein,,Conserved Hypotheticals,MT3270,3270,17
3181,conserved hypothetical protein,,Conserved Hypotheticals,MT3272,3272,6
3182,conserved hypothetical protein,,Conserved Hypotheticals,MT3274,3273,0
3189,conserved hypothetical protein,,Conserved Hypotheticals,MT3277,3277,8
3194,conserved hypothetical protein,,Conserved Hypotheticals,MT3286,3286,13
3195,conserved hypothetical protein,,Conserved Hypotheticals,MT3287,3287,17
3199,conserved hypothetical protein,,Conserved Hypotheticals,MT3293,3293,12
3209,conserved hypothetical protein,,Conserved Hypotheticals,MT3305,3305,9
3218,conserved hypothetical protein,,Conserved Hypotheticals,MT3314,3314,18
3222,conserved hypothetical protein,,Conserved Hypotheticals,MT3319,3319,7
3226,conserved hypothetical protein,,Conserved Hypotheticals,MT3323.1,3323.1,6
3228,conserved hypothetical protein,,Conserved Hypotheticals,MT3325,3325,9
3233,conserved hypothetical protein,,Conserved Hypotheticals,MT3330,3330,12
3234,conserved hypothetical protein,,Conserved Hypotheticals,MT3331,3331,18
3242,conserved hypothetical protein,,Conserved Hypotheticals,MT3340,3340,4
3261,conserved hypothetical protein,,Conserved Hypotheticals,MT3359,3359,14
3262,conserved hypothetical protein,,Conserved Hypotheticals,MT3361,3361,13
3267,conserved hypothetical protein,,Conserved Hypotheticals,MT3367,3367,23
3272,conserved hypothetical protein,,Conserved Hypotheticals,MT3372,3372,19
3277,conserved hypothetical protein,,Conserved Hypotheticals,MT3377,3377,13
3278,conserved hypothetical protein,,Conserved Hypotheticals,MT3377.1,3377.1,5
3281,conserved hypothetical protein,,Conserved Hypotheticals,MT3380,3380,3
3282,conserved hypothetical protein,,Conserved Hypotheticals,MT3381,3381,11
3284,conserved hypothetical protein,,Conserved Hypotheticals,MT3383,3383,5
3288,conserved hypothetical protein,,Conserved Hypotheticals,MT3387,3387,10
3292,conserved hypothetical protein,,Conserved Hypotheticals,MT3391,3391,20
3304,conserved hypothetical protein,,Conserved Hypotheticals,MT3403,3403,13
3311,conserved hypothetical protein,,Conserved Hypotheticals,MT3410,3410,18
3312,conserved hypothetical protein,,Conserved Hypotheticals,MT3411,3411,17
3320,conserved hypothetical protein,,Conserved Hypotheticals,MT3421,3421,5
3321,conserved hypothetical protein,,Conserved Hypotheticals,MT3422,3422,3
3335,conserved hypothetical protein,,Conserved Hypotheticals,MT3439,3439,11
3338,conserved hypothetical protein,,Conserved Hypotheticals,MT3441,3441,5
3342,conserved hypothetical protein,,Conserved Hypotheticals,MT3445,3445,9
3346,conserved hypothetical protein,,Conserved Hypotheticals,MT3450,3450,3
3351,conserved hypothetical protein,,Conserved Hypotheticals,MT3459,3459,133
3353,conserved hypothetical protein,,Conserved Hypotheticals,MT3461,3461,2
3354,conserved hypothetical protein,,Conserved Hypotheticals,MT3462,3462,7
3355,conserved hypothetical protein,,Conserved Hypotheticals,MT3463,3463,6
3357,conserved hypothetical protein,,Conserved Hypotheticals,MT3465,3465,9
3361,conserved hypothetical protein,,Conserved Hypotheticals,MT3469,3469,2
3365,conserved hypothetical protein,,Conserved Hypotheticals,MT3474,3474,4
3368,conserved hypothetical protein,,Conserved Hypotheticals,MT3477,3477,25
3369,conserved hypothetical protein,,Conserved Hypotheticals,MT3478,3478,9
3371,conserved hypothetical protein,,Conserved Hypotheticals,MT3481,3481,37
3376,conserved hypothetical protein,,Conserved Hypotheticals,MT3486,3486,22
3384,conserved hypothetical protein,,Conserved Hypotheticals,MT3492,3492,3
3385,conserved hypothetical protein,,Conserved Hypotheticals,MT3493,3493,3
3399,conserved hypothetical protein,,Conserved Hypotheticals,MT3507,3507,18
3401,conserved hypothetical protein,,Conserved Hypotheticals,MT3509,3509,36
3407,conserved hypothetical protein,,Conserved Hypotheticals,MT3515,3515,3
3408,conserved hypothetical protein,,Conserved Hypotheticals,MT3516,3516,7
3412,conserved hypothetical protein,,Conserved Hypotheticals,MT3521,3521,9
