MTnum,Start,End,numofTAs
MT1011,1099159,1100496,15
MT1012,1100496,1101041,5
MT1013,1101067,1101519,9
MT1014,1101842,1102585,25
MT1015,1102581,1105145,94
MT1017,1105155,1106312,41
MT1018,1106447,1107445,18
MT1019,1107485,1108138,8
MT1020,1108214,1108564,3
MT1021,1108620,1109204,6
MT1022,1109311,1110228,14
MT1023,1110308,1111585,14
MT1024,1111651,1112259,5
MT1025,1112324,1113496,19
MT1025.1,1113673,1113810,2
MT1025.2,1113899,1114147,5
MT1025.3,1114214,1114420,3
MT1026,1114499,1114759,3
MT1027,1114837,1115784,12
MT1028,1115805,1116560,11
MT1029,1116572,1117186,8
MT1030,1117223,1118428,20
MT1031,1118469,1119977,24
MT1032,1120060,1120914,8
MT1033,1120930,1122240,13
MT1034,1122278,1123918,30
MT1035,1123758,1125458,41
MT1036,1125491,1127047,31
MT1037,1127424,1127924,11
MT1038,1128135,1129220,12
MT1039,1129196,1130146,12
MT1040,1130235,1131152,13
MT1040.1,1131428,1131724,6
MT1041,1131690,1133300,21
MT1042,1133380,1133952,11
MT1043,1133968,1134612,9
MT1044,1134832,1135509,6
MT1045,1135548,1136525,12
MT1046,1136620,1138158,25
MT1047,1138344,1138949,8
MT1048,1139011,1142712,40
MT1049,1142808,1143689,12
MT1050,1143702,1144508,18
MT1051,1144608,1145894,16
MT1052,1145902,1146585,8
MT1053,1146581,1147069,6
MT1054,1147063,1148019,8
MT1054.1,1148027,1148200,3
MT1055,1148262,1148471,6
MT1056,1148474,1149151,11
MT1057,1149151,1151763,29
MT1058,1152056,1153768,28
MT1059,1153768,1155894,15
MT1060,1155897,1156463,10
MT1061,1156473,1157999,25
MT1062,1158010,1158837,16
MT1063,1158965,1159351,2
MT1065,1159422,1160105,4
MT1066,1160591,1160872,4
MT1067,1160902,1161225,3
MT1068,1161344,1162516,24
MT1069,1162596,1163420,8
MT1070,1163734,1163868,3
MT1070.1,1163981,1164226,2
MT1071,1164211,1164516,3
MT1072,1164619,1165543,18
MT1073,1165829,1166851,14
MT1074,1167098,1167718,13
MT1075,1167718,1168596,12
MT1075.1,1168684,1169469,13
MT1076,1169406,1170713,16
MT1077,1170801,1170950,3
MT1078,1171087,1172199,24
MT1079,1172432,1172875,4
MT1080,1172924,1173829,12
MT1081,1173994,1174746,8
MT1082,1175044,1175667,19
MT1083,1175769,1176155,5
MT1083.1,1176145,1176528,11
MT1083.2,1176612,1176947,5
MT1084,1176932,1177285,6
MT1085,1177674,1178435,22
MT1086,1178653,1178862,3
MT1087,1179241,1180620,23
MT1088,1180730,1182358,30
MT1089,1182395,1183498,10
MT1090,1183554,1184024,5
MT1091,1184061,1184921,14
MT1092,1184902,1185783,6
MT1093,1185790,1186869,15
MT1094,1186953,1187369,6
MT1095,1187481,1188044,10
MT1096,1188044,1188436,4
MT1096.1,1188470,1190470,15
MT1096.2,1190575,1190694,1
MT1097,1190806,1192404,13
MT1098,1192473,1192610,3
MT1099,1192700,1194508,21
MT1100,1194508,1195278,8
MT1101,1195293,1196327,12
MT1102,1196514,1197347,17
MT1103,1197457,1198314,19
MT1104,1198394,1199608,11
MT1105,1199664,1200617,18
MT1106,1200819,1201892,25
MT1107,1201862,1201969,2
MT1108,1201952,1203343,27
MT1109,1203548,1204267,18
MT1110,1204302,1205465,18
MT1111,1205542,1206033,9
MT1112,1206222,1206680,7
MT1113,1206755,1207618,13
MT1114,1207618,1207881,3
MT1115,1207871,1209889,26
MT1116,1209902,1210018,0
MT1117,1209994,1210719,11
MT1118,1210830,1211615,15
MT1118.1,1211756,1214061,20
MT1118.2,1214241,1214558,7
MT1119,1214696,1215145,6
MT1120,1215165,1215329,4
MT1121,1215426,1215605,2
MT1122,1215800,1216252,7
MT1122.1,1216504,1216650,2
MT1123,1216670,1218574,22
MT1124,1218798,1219733,19
MT1125,1220121,1221398,13
MT1126,1221506,1222330,12
MT1127,1222544,1223842,13
MT1128,1223932,1224804,19
MT1129,1224813,1225691,17
MT1130,1225691,1227112,13
MT1131,1227146,1228129,13
MT1132,1228380,1228928,6
MT1133,1228941,1230095,18
MT1134,1230210,1230518,8
MT1135,1230521,1230754,4
MT1136,1230849,1232371,24
MT1137,1232395,1233504,17
MT1138,1233517,1233786,2
MT1139,1233764,1235008,10
MT1140,1235008,1235643,9
MT1141,1235751,1236737,14
MT1142,1236760,1237740,24
MT1143,1237803,1238873,10
MT1143.1,1238964,1239158,2
MT1144,1239158,1239529,3
MT1145,1239735,1240430,18
MT1147,1240503,1240733,5
MT1148,1240666,1240938,5
MT1149,1241181,1241501,3
MT1150,1241522,1242379,12
MT1151,1242415,1242612,3
MT1152,1242561,1243052,4
MT1153,1243255,1244652,24
MT1154,1244677,1245696,14
MT1155,1245695,1246627,9
MT1156,1246675,1247622,12
MT1157,1247630,1248208,8
MT1157.1,1248274,1248870,14
MT1158,1248880,1249482,10
MT1159,1249482,1250951,19
MT1160,1251260,1252519,27
MT1161,1252624,1254081,27
MT1162,1254102,1255679,27
MT1163,1255679,1256857,17
MT1164,1256821,1258599,29
MT1165,1258617,1260893,35
MT1166,1261272,1261388,1
MT1167,1261469,1261702,5
MT1168,1261822,1263729,25
MT1169,1263861,1264100,6
MT1169.1,1264153,1264491,3
MT1170,1264581,1264982,2
MT1171,1265022,1266035,16
MT1172,1266035,1266406,9
MT1172.1,1266692,1266907,4
MT1173,1266836,1267681,11
MT1174,1267695,1268498,14
MT1175,1268644,1269447,8
MT1176,1269446,1270630,19
MT1177,1270645,1271394,11
MT1178,1271528,1271680,3
MT1179.1,1271912,1274253,35
MT1180,1274389,1275036,9
MT1181,1275131,1275460,7
MT1182,1275520,1275819,2
MT1183,1275792,1277288,24
MT1184,1277383,1278307,18
MT1185,1278397,1279107,9
MT1186,1279145,1279507,5
MT1187,1279491,1280336,19
MT1188,1280336,1280920,15
MT1189,1280979,1281359,10
MT1190,1281520,1281705,1
MT1191,1281796,1282380,12
MT1192,1282380,1282523,3
MT1193,1282549,1283661,8
MT1194,1283661,1284350,11
MT1195,1284477,1285772,28
MT1196,1285775,1286077,15
MT1197,1286083,1286505,4
MT1198,1286816,1290511,75
MT1199,1290553,1292226,35
MT1200,1292271,1292888,15
MT1201,1292909,1293631,18
MT1202,1293656,1295539,15
MT1203,1295640,1297544,23
MT1204,1297578,1298180,9
MT1205,1298255,1299292,16
MT1206,1299313,1299630,3
MT1207,1299792,1300700,11
MT1208,1300768,1301232,6
MT1209,1301246,1302169,15
MT1210,1302419,1304986,43
MT1211,1305160,1305489,8
MT1212,1305693,1307714,28
MT1213,1307714,1308454,24
MT1214,1308493,1308816,7
MT1215,1308852,1309937,20
MT1216,1309971,1310738,6
MT1217,1310684,1312786,35
MT1218,1313164,1319466,98
MT1219,1319522,1320937,40
MT1220,1321007,1324012,52
MT1221,1324022,1325134,22
MT1222,1325266,1326999,32
MT1223,1327179,1328792,18
MT1224,1328877,1330505,24
MT1225,1330508,1331494,21
MT1226,1331579,1332448,8
MT1227,1332467,1333342,9
MT1228,1333376,1334329,10
MT1229,1334414,1335238,14
MT1230,1335281,1336699,21
MT1231,1336738,1338000,18
MT1232,1338095,1338319,5
MT1233,1338454,1338786,5
MT1234,1338836,1340008,10
MT1235,1340146,1340439,3
MT1236,1340493,1340774,4
MT1237,1340848,1342155,16
MT1238,1342429,1343703,29
MT1239,1343706,1344656,11
MT1240,1344747,1345808,16
MT1241,1345811,1346392,8
MT1242,1346426,1348111,16
MT1243,1348206,1348766,13
MT1244,1348819,1350609,37
MT1245,1350678,1351631,10
MT1246,1351631,1352602,14
MT1247,1352644,1353009,5
MT1248,1353009,1353620,11
MT1249,1353685,1353954,5
MT1250,1353988,1355148,31
MT1251,1355323,1356534,30
MT1252,1356783,1357112,5
MT1253,1357249,1358931,26
MT1254,1358962,1359633,19
MT1255,1359645,1361288,20
MT1256,1361288,1362220,6
MT1257,1362213,1362848,10
MT1258,1362993,1363637,10
MT1259,1363900,1364670,17
MT1260,1364636,1365292,8
MT1261,1365363,1366946,22
MT1262,1366951,1367343,5
MT1263,1367382,1368209,6
MT1264,1368323,1369783,15
MT1264.1,1369768,1370358,7
MT1265,1370408,1370962,9
MT1266,1371017,1371187,3
MT1267,1371268,1372437,15
MT1268,1372453,1373685,20
MT1269,1373813,1374352,7
MT1270,1374352,1375656,11
MT1271,1375721,1376323,19
MT1272,1376464,1376988,9
MT1273,1377012,1378415,30
MT1274,1378415,1379335,19
MT1275,1379343,1380164,12
MT1276,1380172,1381350,25
MT1277,1381433,1382530,25
MT1278,1382701,1383687,5
MT1279,1383730,1384023,2
MT1280,1384023,1384451,9
MT1280.1,1384480,1386237,19
MT1281,1386345,1387202,8
MT1283,1387289,1388116,14
MT1284,1388176,1388604,9
MT1285,1388630,1388746,4
MT1286,1388847,1392539,46
MT1287,1392684,1393469,12
MT1288,1393498,1393647,5
MT1289,1393666,1395402,30
MT1290,1395311,1398751,61
MT1291,1398786,1399391,7
MT1292,1399457,1401145,35
MT1293,1401145,1402293,26
MT1294,1402268,1402873,10
MT1295,1402876,1404090,16
MT1296,1404207,1405571,16
MT1297,1405571,1406827,22
MT1297.1,1406919,1407722,11
MT1298,1407694,1408842,28
MT1299,1408973,1409419,11
MT1300,1409427,1409894,6
MT1301,1409917,1411302,22
MT1302,1411380,1412570,13
MT1303,1412746,1413423,11
MT1304,1413449,1415326,29
MT1305,1415670,1416833,20
MT1305.1,1416884,1417183,4
MT1306,1417147,1417842,11
MT1307,1418068,1418487,8
MT1308,1418503,1419234,11
MT1309,1419450,1419794,7
MT1310,1419899,1421791,30
MT1311,1421791,1423536,32
MT1312,1423668,1424237,5
MT1312.1,1424189,1424776,6
MT1313,1424927,1425430,8
MT1314,1425650,1426900,20
MT1315,1426900,1429524,28
MT1316,1429548,1431131,30
MT1317,1431154,1432926,26
MT1318,1432922,1434757,28
MT1319,1434757,1435629,16
MT1320,1435629,1436603,21
MT1321,1436602,1436745,2
MT1322,1436810,1437298,6
MT1323,1437464,1438390,10
MT1324,1438393,1440234,34
MT1325,1440291,1440773,12
MT1326,1440834,1442201,33
MT1327,1442253,1442882,10
MT1328,1443027,1444547,33
MT1329,1444546,1444911,8
MT1330,1445044,1445136,2
MT1330.1,1445161,1445703,5
MT1331,1445920,1447569,34
MT1332,1447569,1448909,27
MT1333,1448916,1450238,23
MT1334,1450238,1451317,20
MT1335,1451538,1452485,15
MT1336,1452745,1454550,22
MT1337,1454704,1454943,6
MT1338,1455036,1456106,14
MT1339,1456169,1457080,14
MT1340,1457099,1457749,10
MT1341,1457833,1459047,19
MT1342,1459212,1459307,1
MT1343,1459307,1459789,4
MT1344,1459785,1460534,10
MT1345,1460586,1460828,7
MT1346,1460862,1461374,3
MT1347,1461384,1462721,20
MT1348,1462769,1464415,25
MT1349,1464425,1465339,18
MT1350,1465382,1466839,20
MT1351,1466856,1467218,1
MT1352,1467229,1467669,10
MT1353,1467715,1469046,16
MT1354,1469215,1469793,15
MT1355,1469862,1471115,16
MT1356,1473005,1473151,2
MT1357,1476678,1477196,9
MT1358,1477172,1478659,13
MT1359,1478743,1480365,19
MT1360,1480438,1482033,22
MT1361,1482043,1483716,31
MT1362,1483732,1485432,29
MT1363,1485494,1486171,12
MT1363.1,1486197,1486490,5
MT1364,1486531,1486986,6
MT1365,1487077,1488243,14
MT1366,1488376,1489287,6
MT1367,1489371,1490975,8
MT1367.1,1491118,1491231,3
MT1368,1491334,1493526,42
MT1369,1493537,1495747,43
MT1370,1495778,1498366,45
MT1371,1498412,1500403,24
MT1372,1500430,1501773,23
MT1373,1501875,1502177,5
MT1374,1502140,1502793,7
MT1375,1502813,1503844,13
MT1376,1503855,1504292,12
MT1376.1,1504317,1504595,5
MT1377,1504608,1505576,19
MT1378,1505609,1506289,12
MT1379,1506289,1507101,16
MT1380,1507131,1507949,19
MT1381,1507969,1508745,13
MT1382,1508787,1509398,5
MT1383,1509401,1509760,5
MT1384,1509760,1510137,12
MT1385,1510182,1510499,10
MT1387,1510664,1512058,20
MT1388,1512061,1513218,14
MT1389,1513191,1513820,14
MT1390,1514262,1516838,38
MT1392,1516838,1518574,19
MT1393,1518706,1519446,14
MT1394,1519446,1519772,10
MT1395,1519978,1520346,5
MT1396,1520418,1521200,13
MT1397,1521223,1523091,44
MT1398,1523103,1525028,35
MT1399,1525247,1526035,28
MT1400,1526511,1527431,13
MT1401,1527454,1527591,3
MT1402,1527827,1531303,73
MT1403,1531379,1532137,17
MT1404,1532191,1532424,5
MT1405,1532563,1533582,14
MT1406,1533661,1534848,14
MT1407,1535166,1535825,14
MT1408,1535825,1536415,6
MT1409,1536387,1536608,1
MT1410,1536902,1538944,35
MT1411,1539002,1539385,5
MT1412,1539606,1540424,19
MT1413,1540396,1540653,5
MT1414,1540731,1541933,18
MT1414.1,1542039,1542182,3
MT1415,1542236,1543018,7
MT1416,1543061,1544683,31
MT1417,1544683,1545861,18
MT1418,1545888,1546847,19
MT1418.1,1546933,1547388,14
MT1419,1547690,1549006,22
MT1420,1549006,1550496,16
MT1421,1550440,1551117,15
MT1422,1551089,1552513,24
MT1423,1552512,1553090,7
MT1424,1553090,1554046,13
MT1425,1554046,1555335,11
MT1426,1555335,1555829,6
MT1427,1555865,1556956,11
MT1428,1556959,1560303,46
MT1429,1560303,1561124,6
MT1430,1561322,1561627,5
MT1431,1561627,1563243,26
MT1432,1563304,1563552,2
MT1433,1563789,1564121,0
MT1434,1564232,1564882,6
MT1435,1564882,1565280,11
MT1436,1565299,1566552,20
MT1437,1566674,1567891,20
MT1438,1567970,1569445,27
MT1439,1569445,1570827,19
MT1440,1570905,1571936,17
MT1440.1,1571988,1573714,12
MT1441,1573972,1574370,6
MT1442,1574370,1574636,5
MT1443,1574710,1575666,15
MT1444,1575694,1576653,17
MT1445,1576604,1577386,13
MT1446,1577470,1579431,28
MT1447,1579455,1580276,16
MT1448,1580400,1580924,10
MT1449,1581002,1581823,12
MT1450,1582020,1582955,9
MT1451,1582955,1584325,21
MT1452,1584362,1585048,12
MT1453,1585048,1586064,13
MT1454,1586067,1587620,30
MT1455,1587629,1588345,9
MT1456,1588421,1589023,7
MT1457,1589376,1590143,7
MT1458,1590251,1591525,15
MT1459,1591525,1592004,4
MT1460,1592004,1592465,8
MT1461,1592493,1593176,14
MT1462,1593359,1593829,5
MT1463,1593896,1595833,29
MT1464,1595833,1596735,20
MT1465,1596735,1597760,11
MT1466,1597754,1598734,11
MT1467,1598750,1599091,8
MT1468,1599074,1600888,29
MT1469,1600764,1602176,35
MT1470,1602179,1603783,19
MT1471,1603790,1604614,18
MT1472,1604733,1605998,22
MT1474,1606242,1607825,38
MT1475,1607939,1609705,25
MT1476,1609705,1611123,16
MT1477,1611290,1612102,17
MT1478,1612112,1612252,1
MT1479,1612207,1612866,19
MT1479.1,1612811,1613023,5
MT1480,1613190,1614206,14
MT1481,1614212,1615447,16
MT1482,1615447,1616229,15
MT1483,1616251,1616836,12
MT1484,1616847,1617269,7
MT1485,1617720,1617950,5
MT1486,1618095,1619566,18
MT1487,1619673,1621970,37
MT1488,1621973,1622089,1
MT1489,1622092,1622574,2
MT1490,1622638,1622886,4
MT1491,1623172,1623579,3
MT1492,1623599,1624339,9
MT1493,1624339,1625247,15
MT1494,1625303,1626844,19
MT1495,1626844,1627962,13
MT1496,1627982,1630156,26
MT1497.1,1630522,1634745,33
MT1497.2,1634939,1635094,4
MT1498,1635144,1636067,16
MT1499,1636122,1638335,17
MT1500,1638451,1639746,13
MT1501,1639780,1640784,17
MT1502,1640744,1641643,13
MT1503,1641599,1642531,15
MT1504,1642643,1643425,8
MT1505,1643425,1644363,14
MT1506,1644522,1646294,26
MT1507,1646312,1647145,10
MT1508,1647145,1649682,59
MT1509,1649682,1650872,14
MT1510,1650872,1651669,12
MT1511,1651674,1652924,15
MT1512,1652924,1653409,8
MT1513,1653387,1653731,1
MT1514,1653832,1655658,28
MT1514.1,1655768,1656892,10
MT1515,1657119,1659089,20
MT1516,1659136,1659507,5
MT1517,1659526,1659894,3
MT1518,1659919,1660773,15
MT1519,1660812,1662437,25
MT1520,1662537,1662725,4
MT1521,1662800,1663360,8
MT1522,1663374,1666202,56
MT1523,1666360,1666917,6
MT1524,1667737,1668561,15
MT1525,1668575,1669297,9
MT1526,1669439,1670569,14
MT1527,1670611,1671519,6
MT1528,1671533,1672537,13
MT1529,1672616,1673491,14
MT1530,1673596,1674336,13
MT1531,1674358,1675164,9
MT1532,1675173,1676204,25
MT1533,1676176,1677039,8
MT1533.1,1677097,1677528,3
MT1533.2,1677553,1678695,15
MT1534,1678708,1679061,6
MT1535,1679098,1679325,4
MT1536,1679478,1680782,38
MT1537,1680883,1681143,4
MT1538,1681367,1682122,15
MT1539,1682313,1684157,16
MT1540,1684161,1686410,31
MT1541,1686427,1686726,8
MT1542,1686726,1687040,6
MT1543,1687040,1688041,8
MT1545,1688100,1689383,16
MT1546,1689462,1690076,16
MT1547,1690293,1690502,3
MT1548,1690491,1690958,7
MT1549,1691006,1692031,36
MT1550,1692046,1692864,32
MT1551,1693080,1693976,32
MT1552,1694155,1695318,31
MT1553,1695440,1696102,26
MT1554,1696102,1696617,20
MT1555,1696886,1697578,29
MT1555.1,1697512,1698012,18
MT1556,1698254,1700050,43
MT1556.1,1700227,1700364,6
MT1557,1700368,1701246,20
MT1558,1701451,1701966,13
MT1560,1701978,1702745,9
MT1560.1,1702752,1703168,5
MT1561,1703205,1704248,20
MT1562,1704200,1705213,13
MT1563,1705213,1705941,7
MT1564,1705965,1706750,18
MT1565,1706788,1707771,18
MT1566,1707687,1708805,13
MT1567,1709026,1709787,15
MT1568,1709799,1710755,12
MT1569,1710888,1711154,3
MT1570,1711150,1712220,24
MT1571,1712215,1712412,5
MT1572,1712457,1714205,37
MT1573,1714330,1717767,52
MT1574,1717898,1718848,17
MT1575,1718881,1720122,13
MT1576,1720172,1720954,22
MT1577,1720938,1722215,19
MT1578,1722241,1728539,98
MT1578.1,1728784,1728912,6
MT1579,1729110,1729604,7
MT1580,1729656,1731407,37
MT1581,1731527,1732627,25
MT1582,1732627,1733190,8
MT1583,1733273,1733704,5
MT1584,1733764,1734887,11
MT1585,1734887,1735561,17
MT1585.1,1735761,1735925,4
MT1586,1736129,1736362,4
MT1587,1736672,1739794,79
MT1589,1739943,1741397,18
MT1590,1741368,1742345,14
MT1591,1742397,1743002,9
MT1592,1742998,1743921,14
MT1593,1743934,1744524,9
MT1594,1744582,1744989,8
MT1595,1745340,1746239,12
MT1596,1746247,1747047,11
MT1596.1,1747072,1747296,3
MT1597,1747348,1747776,5
MT1598,1747847,1751398,47
MT1599,1751453,1753732,46
MT1600,1753870,1755582,28
MT1601,1755671,1757461,32
MT1602,1757565,1757849,5
MT1603,1757835,1759583,40
MT1604,1759589,1760329,14
MT1605,1760329,1760706,10
MT1606,1760706,1761080,4
MT1607,1761151,1761756,14
MT1608,1761898,1763088,20
MT1609,1763101,1763544,9
MT1610,1763582,1764868,26
MT1611,1764909,1765124,3
MT1612,1765133,1765534,9
MT1613,1765557,1767383,37
MT1614,1767292,1769586,35
MT1615,1769593,1771755,49
MT1616,1771797,1773983,46
MT1617,1774085,1774831,11
MT1618,1775017,1775298,9
MT1619,1775546,1776856,16
MT1620,1776856,1778013,7
MT1621,1778013,1778690,2
MT1622,1778693,1779199,3
MT1622.1,1779351,1780070,9
MT1623,1780078,1780743,12
MT1624,1781191,1782237,10
MT1625,1782241,1782477,3
MT1626,1782561,1783139,8
MT1627,1783200,1783298,2
MT1628,1783310,1784674,26
MT1629,1784907,1785437,10
MT1630,1785663,1786709,10
MT1631,1786712,1788292,24
MT1632,1788265,1789149,15
MT1633,1789201,1789956,12
MT1634,1789983,1790390,9
MT1635,1790463,1791803,18
MT1636,1791803,1792942,26
MT1637,1792942,1793571,15
MT1638,1793571,1794188,10
MT1639,1794204,1794935,9
MT1640,1794946,1795755,13
MT1641,1795760,1796560,7
MT1641.1,1796560,1796904,8
MT1642,1797088,1798167,10
MT1643,1798208,1798669,7
MT1644,1798810,1800357,25
MT1645,1800350,1801054,6
MT1646,1801117,1801962,12
MT1647,1801998,1803263,19
MT1648,1803266,1804075,19
MT1649,1804078,1805481,27
MT1650,1805438,1805590,1
MT1650.1,1805655,1805945,6
MT1651,1806160,1806597,9
MT1652,1806590,1806985,11
MT1653,1807096,1808511,13
MT1654,1808540,1809421,17
MT1655,1809482,1810933,23
MT1656,1810873,1812600,19
MT1657,1812600,1814180,20
MT1658,1814270,1815307,22
MT1659,1815340,1816794,24
MT1660,1816908,1817492,5
MT1661,1817524,1818852,31
MT1662,1819078,1819701,5
MT1663,1819775,1820980,19
MT1664,1820980,1821468,7
MT1665,1821572,1824283,42
MT1666,1824449,1825891,17
MT1667,1825920,1827140,12
MT1668,1827297,1827737,11
MT1669,1827859,1830075,41
MT1670,1830075,1831487,33
MT1671,1831482,1833176,32
MT1672,1833358,1833795,9
MT1673,1833808,1834599,13
MT1675,1834624,1837563,39
MT1676,1837626,1837880,5
MT1677,1837899,1839365,18
MT1678,1839427,1842981,66
MT1679,1843231,1843782,10
MT1680,1843835,1844026,1
MT1681,1844091,1844477,8
MT1682,1844513,1845292,11
MT1683,1845309,1846361,23
MT1684,1846671,1847600,18
MT1685,1847648,1848628,11
MT1686,1848638,1849441,14
MT1687,1849640,1850662,13
MT1688,1850665,1853157,37
MT1689,1853257,1856289,54
MT1690,1856483,1857538,15
MT1691,1857538,1858749,5
MT1692,1858749,1859630,4
MT1693,1859630,1860829,10
MT1694,1860829,1861749,5
MT1695,1861749,1862351,6
MT1696,1862269,1863462,18
MT1697,1863545,1864954,8
MT1698,1865066,1866124,11
MT1701,1866210,1872587,81
MT1702,1872610,1877415,67
MT1703,1877418,1878923,18
MT1704,1878932,1881982,47
MT1705,1882132,1883190,13
MT1706,1883179,1884486,21
MT1707,1884486,1886258,24
MT1707.1,1886737,1886886,4
MT1708,1886922,1887266,10
MT1709,1887211,1887666,15
MT1710,1887681,1889009,21
MT1711,1889105,1890034,15
MT1712,1890065,1890718,9
MT1713,1890717,1891046,7
MT1714,1891046,1891777,11
MT1715,1891978,1892550,7
MT1716,1892550,1893095,12
MT1717,1893095,1893193,1
MT1718,1893193,1894098,10
MT1719,1894101,1895219,10
MT1720,1895231,1896052,15
MT1721,1896049,1897041,15
MT1722,1897274,1898119,14
MT1723,1898324,1901392,43
MT1724,1901388,1901609,4
MT1725,1901581,1902201,7
MT1726,1902206,1902883,13
MT1727,1902958,1903722,11
MT1727.1,1903781,1904389,8
MT1728,1904404,1905675,20
MT1729,1906329,1906709,8
MT1730,1906751,1907500,10
MT1731,1907500,1908558,12
MT1732,1908558,1908731,1
MT1733,1908742,1909545,9
MT1734,1909548,1910468,7
MT1735,1910485,1912245,21
MT1736,1912344,1913522,17
MT1737,1913532,1914488,13
MT1738,1914631,1916388,37
MT1739,1916384,1917004,11
MT1740,1917004,1917936,14
MT1741,1918016,1919377,24
MT1742,1919658,1919870,4
MT1743,1919936,1920634,16
MT1744,1920591,1922258,21
MT1745,1922302,1923456,26
MT1746,1923499,1924680,20
MT1746.1,1925135,1925296,5
MT1747,1925287,1925487,4
MT1748,1925684,1927141,22
MT1749,1927366,1928115,16
MT1750,1928115,1928948,11
MT1751,1928948,1929640,15
MT1751.1,1929640,1930401,10
MT1752,1930401,1931090,13
MT1753,1931090,1932478,12
MT1753.1,1932655,1933464,8
MT1754,1933461,1934372,9
MT1755,1934378,1935205,12
MT1756,1935208,1935555,4
MT1757,1935416,1936573,8
MT1758,1936443,1937219,7
MT1759,1937219,1937323,3
MT1760,1937662,1937781,2
MT1761,1937835,1938221,9
MT1762,1938221,1938445,2
MT1763,1938663,1940144,23
MT1764,1940144,1941388,17
MT1765,1941437,1941853,13
MT1766,1941846,1942406,9
MT1767,1942653,1944035,16
MT1768,1944071,1944637,6
MT1769,1944668,1945441,20
MT1770,1945435,1946370,22
MT1771,1946553,1948169,30
MT1771.1,1948124,1948240,3
MT1772,1948535,1950088,25
MT1773,1950104,1950649,8
MT1774,1950716,1951309,5
MT1775,1951539,1951892,7
MT1776,1952152,1952742,10
MT1777,1952748,1952987,4
MT1778,1953089,1955044,42
MT1779,1955044,1956228,15
MT1780,1956338,1956796,6
MT1781,1956816,1958495,42
MT1782,1958563,1958772,4
MT1783,1958775,1959020,7
MT1784,1959031,1959765,13
MT1785,1959862,1961559,33
MT1786,1961850,1962308,8
MT1787,1962241,1962849,14
MT1788,1962996,1964423,13
MT1789,1964494,1967082,33
MT1790,1967282,1967374,0
MT1791,1967458,1968186,12
MT1792,1968189,1968743,16
MT1793,1968830,1970425,40
MT1794,1970623,1971858,15
MT1795,1971988,1972434,5
MT1796,1972475,1975789,66
MT1797,1975996,1977684,40
MT1798,1977722,1977868,3
MT1799,1977871,1979412,35
MT1800,1979544,1980686,20
MT1801,1980876,1982012,21
MT1802,1982216,1985050,62
MT1803,1985570,1986451,23
MT1804,1986505,1986828,4
MT1805,1986864,1987385,11
MT1807,1987658,1990398,26
MT1808,1990560,1990790,3
MT1809,1990887,1992479,28
MT1810,1992495,1992875,6
MT1811,1992878,1993663,10
MT1812,1993806,1994270,8
MT1813,1994371,1994520,1
MT1814,1994684,1995937,11
MT1814.2,1995998,1996348,7
MT1815,1996351,1996956,12
MT1816,1997159,1997425,3
MT1817,1997496,1997852,7
MT1818,1998036,1999887,21
MT1820,2000088,2001287,22
MT1820.1,2001298,2002581,17
MT1821,2002581,2003864,26
MT1821.1,2004065,2004229,2
MT1822,2004263,2004397,1
MT1823,2004443,2005219,15
MT1824,2005252,2006589,30
MT1825,2006592,2007407,14
MT1826,2007418,2007975,12
MT1827,2008076,2009377,27
MT1828,2009504,2010007,5
MT1829,2010109,2011899,14
MT1830,2012119,2012679,13
MT1831,2012725,2014896,27
MT1832,2015160,2016677,20
MT1833,2016677,2020849,60
MT1834,2020870,2022147,25
MT1835,2022248,2022448,1
MT1836,2022601,2023815,21
MT1837,2023897,2024193,5
MT1838,2024156,2025388,22
MT1838.1,2025431,2025730,5
MT1839,2025806,2026894,20
MT1839.1,2026846,2027010,6
MT1840,2027306,2027620,6
MT1841,2027767,2028060,4
MT1842,2028114,2028395,4
MT1843,2028486,2029385,21
MT1844,2029660,2031168,22
MT1845,2031149,2032903,36
MT1846,2032903,2034120,15
MT1847,2034120,2035949,30
MT1848,2036579,2036767,2
MT1849,2036873,2038837,41
MT1849.1,2038794,2039177,10
MT1850,2039421,2040689,25
MT1851,2040804,2042192,22
MT1853,2042346,2044295,33
MT1854,2044446,2044811,10
MT1854.1,2045110,2045529,6
MT1855,2045492,2045788,5
MT1856,2045806,2047014,21
MT1856.1,2047410,2048567,26
MT1857,2048024,2050105,38
MT1858,2050302,2050706,13
MT1859,2050863,2051564,16
MT1860,2051580,2052770,22
MT1861,2053104,2053532,9
MT1862,2053899,2054840,24
MT1863,2054948,2055610,8
MT1864,2055676,2056377,15
MT1865,2057015,2058412,26
MT1866,2058599,2060071,15
MT1867,2060149,2062065,33
MT1868,2062136,2063776,20
MT1869,2063794,2066217,39
MT1870,2066417,2067043,17
MT1871,2067033,2067959,15
MT1872,2067991,2068353,5
MT1873,2068373,2069248,10
MT1874,2069289,2069690,9
MT1875,2069933,2070418,8
MT1876,2070418,2071158,14
MT1877,2071280,2071771,9
MT1879,2072066,2072740,11
MT1880,2073102,2075924,57
MT1881,2076157,2077014,14
MT1882,2077055,2077918,12
MT1883,2077929,2079813,42
MT1884,2079832,2081862,42
MT1885,2081985,2084207,26
MT1886,2084486,2084878,10
MT1887,2084878,2085138,2
MT1888,2085200,2086744,16
MT1889,2086910,2087944,13
MT1890,2087947,2089311,16
MT1891,2089488,2090924,23
MT1892,2090960,2092408,17
MT1893,2092441,2093388,14
