Rv#,Product,Gene ,Sub-classification
933,ABC transport component of phosphate uptake,pstB,Cell Process: Transport/Binding: Anions
934,PstS component of phosphate uptake,phoS1,Cell Process: Transport/Binding: Anions
935,PstC component of phosphate uptake,pstC ,Cell Process: Transport/Binding: Anions
936,PstA component of phosphate uptake,pstA2,Cell Process: Transport/Binding: Anions
937,conserved hypothetical protein,,Conserved Hypotheticals
938,conserved hypothetical protein,,Conserved Hypotheticals
939,probable dehydrase,,MMM: Degradation of aromatic hydrocarbons
940,probable monooxygenase,,SMM: Misc oxidoreductases and oxygenases
941,Hypothetical protein,,Unknowns
942,Hypothetical protein,,Unknowns
943,probable monooxygenase,,SMM: Misc oxidoreductases and oxygenases
944,possible formamidopyrimidine-DNA glycosylase,,MMM: DNA replication; repair; recombination and restriction/modification
945,ketoacyl reductase,,SMM: Misc oxidoreductases and oxygenases
946,glucose-6-phosphate isomerase,pgi,SMM: Energy metabolism-Glycolysis
947,similarity with A85C_MYCTU P31953,,MMM: Other membrane proteins
948,Hypothetical protein,,Unknowns
949,DNA-dependent ATPase I and helicase II,uvrD,MMM: DNA replication; repair; recombination and restriction/modification
950,conserved hypothetical protein,,Conserved Hypotheticals
951,succinyl-CoA synthase [beta] chain,sucC,SMM: Energy Metabolism-TCA cycle
952,succinyl-CoA synthase [alpha] chain,sucD,SMM: Energy Metabolism-TCA cycle
953,similar to alkanal monooxygenase beta chains,,SMM: Misc oxidoreductases and oxygenases
954,cell envelope antigen ,,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens
955,probable membrane protein,,MMM: Other membrane proteins
956,phosphoribosylglycinamide formyltransferase I,purN,SMM: Purine ribonucleotide biosynthesis
957,phosphoribosylaminoimidazole carboxamide,purH,SMM: Purine ribonucleotide biosynthesis
958,similar to magnesium-chelatase subunit,,Other: Chelatases
959,Hypothetical protein,,Unknowns
960,conserved hypothetical protein,,Conserved Hypotheticals
961,Hypothetical protein,,Unknowns
962,Hypothetical protein,,Unknowns
963,conserved hypothetical protein,,Conserved Hypotheticals
964,Hypothetical protein,,Unknowns
965,conserved hypothetical protein,,Conserved Hypotheticals
966,conserved hypothetical protein,,Conserved Hypotheticals
967,conserved hypothetical protein,,Conserved Hypotheticals
968,conserved hypothetical protein,,Conserved Hypotheticals
969,cation transport ATPase,ctpV,Cell Process: Transport/Binding: cations
970,Hypothetical protein,,Unknowns
971,enoyl-CoA hydratase/isomerase superfamily,echA7,SMM: Degradation of fatty acids
972,acyl-CoA dehydrogenase,fadE12,SMM: Degradation of fatty acids
973,acetyl/propionyl-CoA carboxylase; [alpha] subunit,accA2,SMM: Degradation of fatty acids
974,acetyl/propionyl-CoA carboxylase; [beta] subunit,accD2,SMM: Degradation of fatty acids
975,acyl-CoA dehydrogenase,fadE13,SMM: Degradation of fatty acids
976,Hypothetical protein,,Unknowns
977,PE_PGRS family protein,PE_PGRS,Other: PE family: PGRS subfamily
978,PE_PGRS family protein,PE_PGRS,Other: PE family: PGRS subfamily
979,Hypothetical protein,,Unknowns
980,PE_PGRS family protein,PE_PGRS,Other: PE family: PGRS subfamily
981,two-component response regulator,,SMM: Two component systems
982,sensor histidine kinase,,SMM: Two component systems
983,probable serine protease,,MMM: Degradation of Proteins; peptides and glycopeptides
984,molybdenum cofactor biosynthesis; protein B,moaB2,SMM: Biosyn of Molybdopterin
985,highly similar to large-conductance mechanosensitive,mscL,MMM: Other membrane proteins
986,probable ABC transporter,,MMM: Other membrane proteins
987,potential integral membrane protein,,MMM: Other membrane proteins
988,conserved hypothetical protein,,Conserved Hypotheticals
989,heptaprenyl diphosphate synthase II,grcC2,SMM: Biosyn of Menaquinone; PQQ; ubiquinone and other terpenoids
990,Hypothetical protein,,Unknowns
991,Hypothetical protein,,Unknowns
992,conserved hypothetical protein,,Conserved Hypotheticals
993,UTP-glucose-1-phosphate uridylyltransferase,galU,SMM: Degradation of Carbon compounds
994,molybdopterin biosynthesis,moeA,SMM: Biosyn of Molybdopterin
995,acetylation of 30S S5 subunit,rimJ,MMM: Ribosomal protein synthesis and modification
996,Hypothetical protein,,Unknowns
997,Hypothetical protein,,Unknowns
998,Hypothetical protein,,Unknowns
999,Hypothetical protein,,Unknowns
1000,Hypothetical protein,,Unknowns
1001,arginine deiminase,arcA,SMM: Degradation of Amino acids and amines
1002,probable membrane protein,,MMM: Other membrane proteins
1003,conserved hypothetical protein,,Conserved Hypotheticals
1004,possible exported protein,,MMM: Other membrane proteins
1005,p-aminobenzoate synthase ,pabB,SMM: Biosyn of Folic acid
1006,Hypothetical protein,,Unknowns
1007,methionyl-tRNA synthase,metS,MMM: Aminoacyl tRNA synthases and their modification
1008,conserved hypothetical protein,,Conserved Hypotheticals
1009,conserved hypothetical protein,,Conserved Hypotheticals
1010,16S rRNA dimethyltransferase,ksgA,MMM: Ribosome modification and maturation
1011,conserved hypothetical protein,,Conserved Hypotheticals
1012,Hypothetical protein,,Unknowns
1013,polyketide synthase,pks16,SMM: Polyketide and non-ribosomal peptide synthesis
1014,peptidyl-tRNA hydrolase,pth,MMM: Degradation of RNA
1015,50S ribosomal protein L25,rplY,MMM: Ribosomal protein synthesis and modification
1016,similar to M. kansasii Q49597,lpqT,MMM: Cell membrane-Lipoproteins
1017,ribose-phosphate pyrophosphokinase,prsA,SMM: Purine ribonucleotide biosynthesis
1018,UDP-N-acetylglucosamine pyrophosphorylase,glmU,MMM: Murein sacculus and peptidoglycan
1019,transcriptional regulator (TetR/AcrR family),,SMM: Repressors/activators
1020,transcription-repair coupling factor,mfd,MMM: DNA replication; repair; recombination and restriction/modification
1021,conserved hypothetical protein,,Conserved Hypotheticals
1022,lipoprotein,lpqU,MMM: Cell membrane-Lipoproteins
1023,enolase,eno,SMM: Energy metabolism-Glycolysis
1024,Hypothetical protein,,Unknowns
1025,Hypothetical protein,,Unknowns
1026,probable pppGpp-5'phosphohydrolase,,Cell Process: Adaptations and atypical conditions
1027,two-component response regulator,kdpE,SMM: Two component systems
1028,sensor histidine kinase,kdpB,SMM: Two component systems
1029,potassium-transporting ATPase A chain,kdpA,Cell Process: Transport/Binding: cations
1030,potassium-transporting ATPase B chain,kdpB,Cell Process: Transport/Binding: cations
1031,potassium-transporting ATPase C chain,kdpC,Cell Process: Transport/Binding: cations
1032,sensor histidine kinase,,SMM: Two component systems
1033,two-component response regulator,,SMM: Two component systems
1034,HP,,Other: IS elements: Others
1035,HP,,Other: IS elements: Others
1036,HP,,Other: IS elements: Others
1037,conserved hypothetical protein,,Conserved Hypotheticals
1038,conserved hypothetical protein,,Conserved Hypotheticals
1039,PPE-family protein,PPE,Other: PPE family of proteins
1040,PE-family protein,PE,Other: PE family: PE subfamily
1041,HP,,Other: IS elements: Others
1042,HP,,Other: IS elements: Others
1043,Hypothetical protein,,Unknowns
1044,conserved hypothetical protein,,Conserved Hypotheticals
1045,Hypothetical protein,,Unknowns
1046,Hypothetical protein,,Unknowns
1047,possible IS1081 transposase,,Other: IS elements: IS1081
1048,Hypothetical protein,,Unknowns
1049,transcriptional regulator (MarR family),,SMM: Repressors/activators
1050,probable oxidoreductseoxidoreductase,,SMM: Misc oxidoreductases and oxygenases
1051,conserved hypothetical protein,,Conserved Hypotheticals
1052,Hypothetical protein,,Unknowns
1053,Hypothetical protein,,Unknowns
1054,integrase-a,,Other: IS elements: Phage related functions
1055,integrase-b,,Other: IS elements: Phage related functions
1056,conserved hypothetical protein,,Conserved Hypotheticals
1057,conserved hypothetical protein,,Conserved Hypotheticals
1058,acyl-CoA synthase,fadD14,SMM: Degradation of fatty acids
1059,conserved hypothetical protein,,Conserved Hypotheticals
1060,Hypothetical protein,,Unknowns
1061,conserved hypothetical protein,,Conserved Hypotheticals
1062,conserved hypothetical protein,,Conserved Hypotheticals
1063,conserved hypothetical protein,,Conserved Hypotheticals
1064,lipoprotein,lpqV,MMM: Cell membrane-Lipoproteins
1065,conserved hypothetical protein,,Conserved Hypotheticals
1066,conserved hypothetical protein,,Conserved Hypotheticals
1067,PE_PGRS family protein,PE_PGRS,Other: PE family: PGRS subfamily
1068,PE_PGRS family protein,PE_PGRS,Other: PE family: PGRS subfamily
1069,conserved hypothetical protein,,Conserved Hypotheticals
1070,enoyl-CoA hydratase/isomerase superfamily,echA8,SMM: Degradation of fatty acids
1071,enoyl-CoA hydratase/isomerase superfamily,echA9,SMM: Degradation of fatty acids
1072,probable transmembrane protein,,MMM: Other membrane proteins
1073,conserved hypothetical protein,,Conserved Hypotheticals
1074,acetyl-CoA C-acetyltransferase,fadA3,SMM: Degradation of fatty acids
1075,conserved hypothetical protein,,Conserved Hypotheticals
1076,probable esterase,lipU,MMM: Esterases and Lipases
1077,cystathionine [beta]-synthase,cysM2,SMM: Amino acid synthesis-Serine family
1078,MLPRAG (64.8% id) proline rich Ag,pra,Conserved Hypotheticals
1079,cystathionine [gamma]-synthase,metB,SMM: Amino acid synthesis-Aspartate family
1080,transcription elongation factor G,greA,MMM: Protein translation and modification
1081,Hypothetical protein,,Unknowns
1082,similar to S. lincolnensis ImbE,,Other: Antibiotic production and resistance
1083,conserved hypothetical protein,,Conserved Hypotheticals
1084,conserved hypothetical protein,,Conserved Hypotheticals
1085,possible hemolysin,,Other: Virulence
1086,conserved hypothetical protein,,Conserved Hypotheticals
1087,PE_PGRS family protein,PE_PGRS,Other: PE family: PGRS subfamily
1088,PE-family protein,PE,Other: PE family: PE subfamily
1089,PE-family protein,PE,Other: PE family: PE subfamily
1090,probable inactivated cellulase/endonuclease,,MMM: Degradation of Polysaccharides; lipopolysaccharides and phospholipids
1091,PE_PGRS family protein,PE_PGRS,Other: PE family: PGRS subfamily
1092,pantothenate kinase,coaA,SMM: Biosyn of Pantothenate
1093,serine hydroxymethyltransferase,glyA,SMM: Amino acid synthesis-Serine family
1094,acyl-[ACP]-desaturase,desA2,SMM: Modification of fatty & mycolic acids
1095,PhoH-like protein,phoH2,SMM: Degradation of phosphorous compounds
1096,carbohydrate degrading enzyme,,SMM: Degradation of Carbon compounds
1097,probable membrane spanning protein,,MMM: Other membrane proteins
1098,fumarase,fum,SMM: Energy Metabolism-TCA cycle
1099,conserved hypothetical protein,,Conserved Hypotheticals
1100,conserved hypothetical protein,,Conserved Hypotheticals
1101,putative membrane protein,,MMM: Other membrane proteins
1102,conserved hypothetical protein,,Conserved Hypotheticals
1103,Hypothetical protein,,Unknowns
1104,probable esterase pseudogene,,MMM: Esterases and Lipases
1105,probable esterase pseudogene,,MMM: Esterases and Lipases
1106,probable cholesterol dehydrogenase,,SMM: Misc oxidoreductases and oxygenases
1107,exonuclease VII small subunit,xseB,MMM: Degradation of DNA
1108,exonuclease VII large subunit,xseA,MMM: Degradation of DNA
1109,Hypothetical protein,,Unknowns
1110,very similar to LytB,lytB',MMM: Murein sacculus and peptidoglycan
1111,Hypothetical protein,,Unknowns
1112,conserved hypothetical protein,,Conserved Hypotheticals
1113,Hypothetical protein,,Unknowns
1114,conserved hypothetical protein,,Conserved Hypotheticals
1115,Hypothetical protein,,Unknowns
1116,Hypothetical protein,,Unknowns
1117,conserved hypothetical protein,,Conserved Hypotheticals
1118,Hypothetical protein,,Unknowns
1119,Hypothetical protein,,Unknowns
1120,conserved hypothetical protein,,Conserved Hypotheticals
1121,glucose-6-phosphate 1-dehydrogenase,zwf,SMM: Energy metabolism- Pentose phosphate pathway
1122,6-phosphogluconate dehydrogenase (Gram +),gnd2,SMM: Energy metabolism- Pentose phosphate pathway
1123,probable non-heme bromoperoxidase,bpoB,Cell Process: Detoxification
1124,probable epoxide hydrolase,ephC,Cell Process: Detoxification
1125,Hypothetical protein,,Unknowns
1126,conserved hypothetical protein,,Conserved Hypotheticals
1127,similar to pyruvate; phosphate dikinase,ppdK,SMM: Intermediate Metabolism-General
1128,REP-family protein,,Other: IS elements: REP13E12 family
1129,transcriptional regulator (PbsX/Xre family),,SMM: Repressors/activators
1130,conserved hypothetical protein,,Conserved Hypotheticals
1131,citrate synthase 3,gltA1,SMM: Energy Metabolism-TCA cycle
1132,possible transporter,,MMM: Other membrane proteins
1133,5-methyltetrahydropteroyltriglutamate-homocysteine,metE,SMM: Amino acid synthesis-Aspartate family
1134,Hypothetical protein,,Unknowns
1135,PPE-family protein,PPE,Other: PPE family of proteins
1136,probable carnitine racemase,,SMM: Degradation of fatty acids
1137,Hypothetical protein,,Unknowns
1138,conserved hypothetical protein,,Conserved Hypotheticals
1139,conserved hypothetical protein,,Conserved Hypotheticals
1140,conserved hypothetical protein,,Conserved Hypotheticals
1141,enoyl-CoA hydratase/isomerase superfamily,echA11,SMM: Degradation of fatty acids
1142,enoyl-CoA hydratase/isomerase superfamily,echA10,SMM: Degradation of fatty acids
1143,[alpha]-methyl acyl-CoA racemase,mcr,SMM: Degradation of fatty acids
1144,short-chain alcohol dehydrogenase,,SMM: Misc oxidoreductases and oxygenases
1145,probable drug transporter,,Cell Process: Efflux proteins
1146,probable drug transporter,,Cell Process: Efflux proteins
1147,similar to phosphatidylethanolamine N-methyltransferase,,Other: Miscellaneous Transferases
1148,REP-family protein,,Other: IS elements: REP13E12 family
1149,HP,,Other: IS elements: Others
1150,HP,,Other: IS elements: Others
1151,putative transcriptional regulator,,SMM: Repressors/activators
1152,transcriptional regulator (GntR family),,SMM: Repressors/activators
1153,PKS o-methyltransferase,omt,SMM: Polyketide and non-ribosomal peptide synthesis
1154,Hypothetical protein,,Unknowns
1155,Hypothetical protein,,Unknowns
1156,Hypothetical protein,,Unknowns
1157,conserved hypothetical protein,,Conserved Hypotheticals
1158,conserved hypothetical protein,,Conserved Hypotheticals
1159,probable membrane protein,,MMM: Other membrane proteins
1160,MutT homologue,mutT2,MMM: DNA replication; repair; recombination and restriction/modification
1161,nitrate reductase [alpha] subunit,narG,SMM: Respiration- anaerobic
1162,nitrate reductase [beta] subunit,narH,SMM: Respiration- anaerobic
1163,nitrate reductase [delta] subunit,narJ,SMM: Respiration- anaerobic
1164,nitrate reductase [gamma] subunit,narI,SMM: Respiration- anaerobic
1165,conserved hypothetical protein,,Conserved Hypotheticals
1166,lipoprotein,lpqW,MMM: Cell membrane-Lipoproteins
1167,putative transcriptional regulator,,SMM: Repressors/activators
1168,PPE-family protein,PPE,Other: PPE family of proteins
1169,PE-family protein,PE,Other: PE family: PE subfamily
1170,similar to S. lincolnensis ImbE,,Other: Antibiotic production and resistance
1171,Hypothetical protein,,Unknowns
1172,PE-family protein,PE,Other: PE family: PE subfamily
1173,conserved hypothetical protein,,Conserved Hypotheticals
1174,Hypothetical protein,,Unknowns
1175,2;4-Dienoyl-CoA reductase,fadH,SMM: Degradation of fatty acids
1176,conserved hypothetical protein,,Conserved Hypotheticals
1177,ferredoxin 4Fe-4S,fdxC,SMM: Respiration-Electron Transport
1178,possible aminotransferase,,Other: Miscellaneous Transferases
1179,Hypothetical protein,,Unknowns
1180,polyketide synthase,pks3,SMM: Polyketide and non-ribosomal peptide synthesis
1181,polyketide synthase,pks4,SMM: Polyketide and non-ribosomal peptide synthesis
1182,PKS-associated protein; unknown function,papA3,SMM: Polyketide and non-ribosomal peptide synthesis
1183,conserved large membrane protein,mmpL10,MMM: Conserved membrane proteins
1184,conserved hypothetical protein,,Conserved Hypotheticals
1185,acyl-CoA synthase,fadD21,SMM: Degradation of fatty acids
1186,Hypothetical protein,,Unknowns
1187,pyrroline-5-carboxylase dehydrogense,rocA,SMM: Degradation of Amino acids and amines
1188,probable dehydrogenase,,SMM: Misc oxidoreductases and oxygenases
1189,ECF family sigma factor,sigI,MMM:RNA synthesis; RNA modification and DNA transcription
1190,conserved hypothetical protein,,Conserved Hypotheticals
1191,conserved hypothetical protein,,Conserved Hypotheticals
1192,Hypothetical protein,,Unknowns
1193,acyl-CoA synthase,fadD36,SMM: Degradation of fatty acids
1194,conserved hypothetical protein,,Conserved Hypotheticals
1195,PE-family protein,PE,Other: PE family: PE subfamily
1196,PPE-family protein,PPE,Other: PPE family of proteins
1197,conserved hypothetical protein,,Conserved Hypotheticals
1198,conserved hypothetical protein,,Conserved Hypotheticals
1199,possible IS1081 transposase,,Other: IS elements: IS1082
1200,probable sugar transporter,,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols
1201,conserved hypothetical protein,,Conserved Hypotheticals
1202,succinyl-diaminopimelate desuccinylase,dapE,SMM: Amino acid synthesis-Aspartate family
1203,Hypothetical protein,,Unknowns
1204,conserved hypothetical protein,,Conserved Hypotheticals
1205,conserved hypothetical protein,,Conserved Hypotheticals
1206,acyl-CoA synthase,fadD6,SMM: Degradation of fatty acids
1207,dihydropteroate synthase,folP2,SMM: Biosyn of Folic acid
1208,conserved hypothetical protein,,Conserved Hypotheticals
1209,conserved hypothetical protein,,Conserved Hypotheticals
1210,DNA-3-methyladenine glycosidase I,tagA,MMM: DNA replication; repair; recombination and restriction/modification
1211,conserved hypothetical protein,,Conserved Hypotheticals
1212,possible involved in LPS synthesis,,MMM: Other membrane proteins
1213,glucose-1-phosphate adenylyltransferase,glgC,SMM: Intermediate Metabolism-General
1214,PE-family protein,PE,Other: PE family: PE subfamily
1215,conserved hypothetical protein,,Conserved Hypotheticals
1216,conserved hypothetical protein,,Conserved Hypotheticals
1217,probable integral membrane protein,,MMM: Other membrane proteins
1218,probable ABC transmembrane transport protein,,MMM: Other membrane proteins
1219,putative transcriptional regulator,,SMM: Repressors/activators
1220,probable methyltransferase,,Other: Miscellaneous Transferases
1221,ECF subfamily sigma subunit,sigE,MMM:RNA synthesis; RNA modification and DNA transcription
1222,Hypothetical protein,,Unknowns
1223,serine peptidase,htrA,MMM: Degradation of Proteins; peptides and glycopeptides
1224,conserved hypothetical protein,,Conserved Hypotheticals
1225,conserved hypothetical protein,,Conserved Hypotheticals
1226,probable membrane protein,,MMM: Other membrane proteins
1227,probable transmembrane protein,,MMM: Other membrane proteins
1228,lipoprotein,lpqX,MMM: Cell membrane-Lipoproteins
1229,similar to MRP/NBP35 ATP-binding proteins,mrp,Conserved Hypotheticals
1230,probable membrane protein,,MMM: Other membrane proteins
1231,Hypothetical protein,,Unknowns
1232,Hypothetical protein,,Unknowns
1233,Hypothetical protein,,Unknowns
1234,Hypothetical protein,,Unknowns
1235,possible role in sugar transport,lpqY,MMM: Cell membrane-Lipoproteins
1236,membrane protein probably involved in sugar,sugA,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols
1237,sugar transport protein,sugB,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols
1238,ABC transporter component of sugar uptake system,sugC,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols
1239,probable magnesium and cobalt transport protein,corA,Cell Process: Transport/Binding: cations
1240,malate dehydrogenase,mdh,SMM: Energy Metabolism-TCA cycle
1241,conserved hypothetical protein,,Conserved Hypotheticals
1242,conserved hypothetical protein,,Conserved Hypotheticals
1243,PE_PGRS family protein,PE_PGRS,Other: PE family: PGRS subfamily
1244,lipoprotein,lpqZ,MMM: Cell membrane-Lipoproteins
1245,putative dehydrogenase,,SMM: Misc oxidoreductases and oxygenases
1246,conserved hypothetical protein,,Conserved Hypotheticals
1247,conserved hypothetical protein,,Conserved Hypotheticals
1248,2-oxoglutarate dehydrogenase,sucA,SMM: Energy Metabolism-TCA cycle
1249,probable membrane protein,,MMM: Other membrane proteins
1250,probable drug efflux protein,,Cell Process: Efflux proteins
1251,Hypothetical protein,,Unknowns
1252,lipoprotein,lprE,MMM: Cell membrane-Lipoproteins
1253,ATP-dependent DNA/RNA helicase,deaD,MMM:RNA synthesis; RNA modification and DNA transcription
1254,acyltransferase,,Other: Miscellaneous Transferases
1255,transcriptional regulator (TetR/AcrR family),,SMM: Repressors/activators
1256,probable cytochrome P450,,Other: Cytochrome P450 enzymes
1257,similar to many dehydrogenases,,SMM: Misc oxidoreductases and oxygenases
1258,probable multidrug resistance pump,,Cell Process: Efflux proteins
1259,Hypothetical protein,,Unknowns
1260,probable oxidoreductase,,SMM: Misc oxidoreductases and oxygenases
1261,conserved hypothetical protein,,Conserved Hypotheticals
1262,conserved hypothetical protein,,Conserved Hypotheticals
1263,probable amidase AM12_MYCTU Q11056,amiB2,Other: Miscellaneous phosphatases; lyases and hydrolases
1264,similar to adenylate cyclases,,Other: Cyclases
1265,Hypothetical protein,,Unknowns
1266,serine-threonine protein kinase,pknH,SMM: Ser/Thr protein kinases and phosphoprotein phosphatases
1267,regulator of embAB genes (AfsR/DndI/RedD family),embR,SMM: Repressors/activators
1268,Hypothetical protein,,Unknowns
1269,conserved hypothetical protein,,Conserved Hypotheticals
1270,lipoprotein,lprA,MMM: Cell membrane-Lipoproteins
1271,conserved hypothetical protein,,Conserved Hypotheticals
1272,probable ABC transporter,,MMM: Other membrane proteins
1273,ABC transporter,,MMM: Other membrane proteins
1274,lipoprotein,lprB,MMM: Cell membrane-Lipoproteins
1275,lipoprotein,lprC,MMM: Cell membrane-Lipoproteins
1276,Hypothetical protein,,Unknowns
1277,Hypothetical protein,,Unknowns
1278,Hypothetical protein,,Unknowns
1279,probable choline dehydrogenase,,SMM: Misc oxidoreductases and oxygenases
1280,probable oligopeptide transport protein,oppA,Cell Process: Transport/Binding: amino acids
1281,probable peptide transport protein,oppD,Cell Process: Transport/Binding: amino acids
1282,oligopeptide transport system permease,oppC,Cell Process: Transport/Binding: amino acids
1283,oligopeptide transport system ,oppB,Cell Process: Transport/Binding: amino acids
1284,conserved hypothetical protein,,Conserved Hypotheticals
1285,ATP: sulphurlyase subunit 2,cysD,SMM: Intermediate Metabolism-of sulphur
1286,ATP: sulphurlyase subunit 1,cysN,SMM: Intermediate Metabolism-of sulphur
1287,conserved hypothetical protein,,Conserved Hypotheticals
1288,conserved hypothetical protein,,Conserved Hypotheticals
1289,Hypothetical protein,,Unknowns
1290,Hypothetical protein,,Unknowns
1291,conserved hypothetical protein,,Conserved Hypotheticals
1292,arginyl-tRNA synthase,argS,MMM: Aminoacyl tRNA synthases and their modification
1293,diaminopimelate decarboxylase,lysA,SMM: Amino acid synthesis-Aspartate family
1294,homoserine dehydrogenase,thrA,SMM: Amino acid synthesis-Aspartate family
1295,homoserine synthase,thrC,SMM: Amino acid synthesis-Aspartate family
1296,homoserine kinase,thrB,SMM: Amino acid synthesis-Aspartate family
1297,transcription termination factor rho,rho,MMM:RNA synthesis; RNA modification and DNA transcription
1298,50S ribosomal protein L31,rpmE,MMM: Ribosomal protein synthesis and modification
1299,peptide chain release factor 1,prfA,MMM: Protein translation and modification
1300,protoporphyrinogen oxidase,hemK,SMM: Biosyn of Heme and Porphyrin
1301,conserved hypothetical protein,,Conserved Hypotheticals
1302,HP,rfe,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens
1303,conserved hypothetical protein,,Conserved Hypotheticals
1304,ATP synthase a chain,atpB,SMM: ATP-proton motive force
1305,ATP synthase c chain,atpE,SMM: ATP-proton motive force
1306,ATP synthase b chain,atpF,SMM: ATP-proton motive force
1307,ATP synthase [delta] chain,atpH,SMM: ATP-proton motive force
1308,ATP synthase [alpha] chain,atpA,SMM: ATP-proton motive force
1309,ATP synthase [gamma] chain,atpG,SMM: ATP-proton motive force
1310,ATP synthase [beta] chain,atpD,SMM: ATP-proton motive force
1311,ATP synthase [epsilon] chain,atpC,SMM: ATP-proton motive force
1312,conserved hypothetical protein,,Conserved Hypotheticals
1313,transposase,,Other: IS elements: Others
1314,conserved hypothetical protein,,Conserved Hypotheticals
1315,UDP-N-acetylglucosamine-1-carboxyvinyltransferase,murA,MMM: Murein sacculus and peptidoglycan
1316,methylated-DNA-protein-cysteine methyltransferase,ogt,MMM: DNA replication; repair; recombination and restriction/modification
1317,DNA-3-methyladenine glycosidase II,alkA,MMM: DNA replication; repair; recombination and restriction/modification
1318,similar at C-term to adenylate cyclases,,Other: Cyclases
1319,similar at C-term to adenylate cyclases,,Other: Cyclases
1320,similar at C-term to adenylate cyclases,,Other: Cyclases
1321,conserved hypothetical protein,,Conserved Hypotheticals
1322,Hypothetical protein,,Unknowns
1323,acetyl-CoA C-acetyltransferase (aka thiL),fadA4,SMM: Degradation of fatty acids
1324,Hypothetical protein,,Unknowns
1325,PE_PGRS family protein,PE_PGRS,Other: PE family: PGRS subfamily
1326,1;4-[alpha]-glucan branching enzyme,glgB,MMM: Polysaccharides (cytoplasmic)
1327,probable glycosyl hydrolase; [alpha]-amylase family,,MMM: Degradation of Polysaccharides; lipopolysaccharides and phospholipids
1328,probable glycogen phosphorylase,glgP,MMM: Polysaccharides (cytoplasmic)
1329,probable ATP-dependent helicase,dinG,MMM: DNA replication; repair; recombination and restriction/modification
1330,conserved hypothetical protein,,Conserved Hypotheticals
1331,conserved hypothetical protein,,Conserved Hypotheticals
1332,putative transcriptional regulator,,SMM: Repressors/activators
1333,probable hydrolase,,MMM: Degradation of Polysaccharides; lipopolysaccharides and phospholipids
1334,conserved hypothetical protein,,Conserved Hypotheticals
1335,conserved hypothetical protein,,Conserved Hypotheticals
1336,cysteine synthase B,cysM,SMM: Amino acid synthesis-Serine family
1337,conserved hypothetical protein,,Conserved Hypotheticals
1338,glutamate racemase,murI,MMM: Murein sacculus and peptidoglycan
1339,conserved hypothetical protein,,Conserved Hypotheticals
1340,ribonuclease PH,rphA,MMM: Degradation of RNA
1341,conserved hypothetical protein,,Conserved Hypotheticals
1342,polyketide synthase (chalcone synthase-like),pks14,SMM: Polyketide and non-ribosomal peptide synthesis
1343,conserved hypothetical protein,,Conserved Hypotheticals
1344,possible acyl carrier protein,,SMM: Biosyn of fatty and mycolic acids
1345,acyl-CoA synthase,fadD33,SMM: Degradation of fatty acids
1346,acyl-CoA dehydrogenase,fadE14,SMM: Degradation of fatty acids
1347,possible aminoglycoside 6'-N-acetyltransferase,,Other: Antibiotic production and resistance
1348,heavy metal tolerance protein,,MMM: Other membrane proteins
1349,probable membrane protein,,MMM: Other membrane proteins
1350,3-oxoacyl-[ACP] reductase,fabG2,SMM: Biosyn of fatty and mycolic acids
1351,Hypothetical protein,,Unknowns
1352,conserved hypothetical protein,,Conserved Hypotheticals
1353,transcriptional regulator (TetR/AcrR family),,SMM: Repressors/activators
1354,conserved hypothetical protein,,Conserved Hypotheticals
1355,weak similarity to E. coli MoeB,moeY,SMM: Biosyn of Molybdopterin
1356,Hypothetical protein,,Unknowns
1357,conserved hypothetical protein,,Conserved Hypotheticals
1358,transcriptional regulator (LuxR/UhpA family),,SMM: Repressors/activators
1359,putative transcriptional regulator,,SMM: Repressors/activators
1360,coenzyme F420 dependent,,Other: Coenzyme F420-dependent enzymes
1361,PPE-family protein,PPE,Other: PPE family of proteins
1362,conserved hypothetical protein,,Conserved Hypotheticals
1363,conserved hypothetical protein,,Conserved Hypotheticals
1364,SigB regulation protein,rsbU,MMM:RNA synthesis; RNA modification and DNA transcription
1365,conserved hypothetical protein,,Conserved Hypotheticals
1366,Hypothetical protein,,Unknowns
1367,probable penicillin binding protein,,MMM: Murein sacculus and peptidoglycan
1368,lipoprotein,lprF,MMM: Cell membrane-Lipoproteins
1369,possible IS6110 transposase,,Other: IS elements: IS6112
1370,possible IS6110 transposase,,Other: IS elements: IS6113
1371,Hypothetical protein,,Unknowns
1372,polyketide synthase,pks18,SMM: Polyketide and non-ribosomal peptide synthesis
1373,slight similarity to sulfotransferases,,Other: `<Miscellaneous Transferases
1374,Hypothetical protein,,Unknowns
1375,conserved hypothetical protein,,Conserved Hypotheticals
1376,conserved hypothetical protein,,Conserved Hypotheticals
1377,some similarity to methyltransferases,,Other: Miscellaneous Transferases
1378,conserved hypothetical protein,,Conserved Hypotheticals
1379,regulatory protein pyrimidine biosynthesis,pyrR,SMM: Repressors/activators
1380,aspartate carbamoyltransferase,pyrB,SMM: Pyrimidine ribonucleotide biosynthesis
1381,dihydroorotase,pyrC,SMM: Pyrimidine ribonucleotide biosynthesis
