gene,length,class
746,663,MMM: Ribosomal protein synthesis and modification
747,198,MMM: Ribosomal protein synthesis and modification
748,441,MMM: Ribosomal protein synthesis and modification
749,1620,MMM: Degradation of Proteins; peptides and glycopeptides
750,906,Conserved Hypotheticals
751,1104,Conserved Hypotheticals
752,657,SMM: Degradation of Carbon compounds
753,981,SMM: Misc oxidoreductases and oxygenases
754,1347,SMM: Degradation of Carbon compounds
755,729,Conserved Hypotheticals
756,957,Conserved Hypotheticals
756.1,1326,Cell Process: Protein and peptide secretion
757,546,SMM: Misc. nucleoside/nucleotide reactions
758,801,MMM: Degradation of Proteins; peptides and glycopeptides
759,534,MMM:RNA synthesis; RNA modification and DNA transcription
760,753,Unknowns
761,213,noRV
762,498,SMM: Repressors/activators
762.1,213,noRV
763,549,MMM: Other membrane proteins
764,807,Conserved Hypotheticals
765,249,Conserved Hypotheticals
766,363,noRV
767,315,Other: IS elements: Others
768,519,Other: PE family: PGRS subfamily
768.1,141,noRV
769,558,Unknowns
770,540,SMM: Repressors/activators
771,147,noRV
772,528,Conserved Hypotheticals
772.1,2352,Other: PE family: PGRS subfamily
772.2,243,noRV
772.5,2358,Other: PE family: PGRS subfamily
772.6,267,Conserved Hypotheticals
773,429,Conserved Hypotheticals
773.1,138,noRV
774,270,Conserved Hypotheticals
775,885,SMM: Degradation of Amino acids and amines
776,1173,SMM: Degradation of fatty acids
777,1533,SMM: Degradation of Amino acids and amines
778,1755,Other: PE family: PGRS subfamily
779,1941,Other: PPE family of proteins
780,216,noRV
781,774,Unknowns
782,723,SMM: Two component systems
783,1458,SMM: Two component systems
784,402,Conserved Hypotheticals
785,420,Conserved Hypotheticals
786,1029,SMM: Misc oxidoreductases and oxygenases
787,546,Unknowns
787.1,243,Other: Cytochrome P450 enzymes
788,1356,Other: Cytochrome P450 enzymes
789,828,SMM: Misc oxidoreductases and oxygenases
790,1209,Other: Cytochrome P450 enzymes
791,642,Unknowns
792,1470,SMM: Misc oxidoreductases and oxygenases
793,747,SMM: Misc oxidoreductases and oxygenases
794,888,SMM: Misc oxidoreductases and oxygenases
795,435,MMM: Degradation of aromatic hydrocarbons
796,1269,SMM: Purine ribonucleotide biosynthesis
797,1539,SMM: Biosyn of Thioredoxin; glytaredoxin and mycothiol
798,912,Conserved Hypotheticals
799,624,Conserved Hypotheticals
800,780,Conserved Hypotheticals
801,1419,SMM: Purine ribonucleotide biosynthesis
802,1245,Other: Cytochrome P450 enzymes
803,684,Conserved Hypotheticals
804,894,SMM: Purine ribonucleotide biosynthesis
805,2157,MMM: Degradation of Proteins; peptides and glycopeptides
806,480,noRV
807,1638,Cell Process: Efflux proteins
808,840,Conserved Hypotheticals
809,1701,SMM: Misc oxidoreductases and oxygenases
810,639,Conserved Hypotheticals
811,729,Unknowns
812,240,noRV
813,675,SMM: Purine ribonucleotide biosynthesis
814,600,Unknowns
815,729,Unknowns
816,1044,noRV
817,1932,SMM: Misc oxidoreductases and oxygenases
818,1152,SMM: Repressors/activators
819,798,Other: Bacteriocin-like proteins
820,1008,Conserved Hypotheticals
821,1302,MMM: Degradation of Proteins; peptides and glycopeptides
822,657,Other: Antibiotic production and resistance
823,2265,SMM: Purine ribonucleotide biosynthesis
824,630,Conserved Hypotheticals
825,957,Conserved Hypotheticals
826,1599,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens
827,108,noRV
828,390,Conserved Hypotheticals
829,1584,SMM: Purine ribonucleotide biosynthesis
830,1095,SMM: Purine ribonucleotide biosynthesis
831,183,Unknowns
832,1107,Conserved Hypotheticals
833,888,SMM: Biosyn of Folic acid
834,681,Conserved Hypotheticals
835,99,noRV
836,303,SMM: Intermediate Metabolism-of sulphur
837,834,SMM: Amino acid synthesis-Serine family
838,423,SMM: Biosyn of Thioredoxin; glytaredoxin and mycothiol
839,813,MMM: Other membrane proteins
840,807,SMM: Two component systems
841,948,Conserved Hypotheticals
842,777,Cell Process: Transport/Binding: Anions
843,642,Cell Process: Transport/Binding: Anions
844,2055,Conserved Hypotheticals
845,1170,SMM: Repressors/activators
846,1017,SMM: Modification of fatty & mycolic acids
847,720,Conserved Hypotheticals
848,1092,Conserved Hypotheticals
849,399,SMM: Repressors/activators
850,396,Other: IS elements: Others
851,906,Conserved Hypotheticals
852,918,Conserved Hypotheticals
853,171,noRV
854,453,Other: PE family: PGRS subfamily
854.1,2250,Other: PE family: PGRS subfamily
855,2640,Other: PE family: PGRS subfamily
856,852,MMM: Cell membrane-Lipoproteins
856.1,552,noRV
857,747,Unknowns
858,1029,Unknowns
859,189,noRV
860,696,MMM: Cell membrane-Lipoproteins
861,813,Conserved Hypotheticals
862,861,MMM: Degradation of Proteins; peptides and glycopeptides
863,243,Unknowns
864,1329,MMM: Other membrane proteins
865,1005,SMM: Misc oxidoreductases and oxygenases
866,651,SMM: Two component systems
867,1290,SMM: Two component systems
868,120,noRV
869,1515,SMM: Misc oxidoreductases and oxygenases
870,417,MMM: Cell membrane-Lipoproteins
871,1214,SMM: Amino acid synthesis-Serine family
872,1259,Cell Process: Efflux proteins
873,333,Other: IS elements: Others
874,837,SMM: Misc oxidoreductases and oxygenases
875,837,SMM: Degradation of fatty acids
876,1683,SMM: Misc oxidoreductases and oxygenases
877,444,Conserved Hypotheticals
878,1080,SMM: Degradation of fatty acids
879,435,Conserved Hypotheticals
880,474,Conserved Hypotheticals
881,1194,Other: Miscellaneous Transferases
882,1212,SMM: Degradation of fatty acids
883,2163,SMM: Degradation of fatty acids
884,1629,MMM: DNA replication; repair; recombination and restriction/modification
885,2271,Conserved Hypotheticals
886,282,Conserved Hypotheticals
887,504,SMM: Biosyn of Molybdopterin
888,483,SMM: Biosyn of Molybdopterin
889,426,SMM: Biosyn of Molybdopterin
890,1224,MMM: Other membrane proteins
891,279,SMM: Biosyn of Molybdopterin
892,1083,SMM: Biosyn of Molybdopterin
892.1,390,MMM: Other membrane proteins
893,408,Cell Process: Adaptations and atypical conditions
894,1830,Other: PE family: PGRS subfamily
895,192,noRV
896,1953,SMM: Degradation of fatty acids
897,1284,Conserved Hypotheticals
898,489,MMM: Other membrane proteins
899,1680,MMM: Other membrane proteins
900,789,Conserved Hypotheticals
901,1335,Other: PPE family of proteins
902,276,Unknowns
903,636,Conserved Hypotheticals
904,729,Other: Miscellaneous Transferases
905,285,MMM: Other membrane proteins
906,762,Conserved Hypotheticals
907,1131,SMM: Amino acid synthesis-Serine family
908,1023,MMM: Other membrane proteins
909,1728,SMM: Respiration-Electron Transport
910,513,Unknowns
910.1,156,noRV
910.2,267,noRV
910.3,150,noRV
910.4,147,noRV
911,1524,MMM: Other membrane proteins
912,1122,SMM: Energy Metabolism-TCA cycle
914,2649,SMM: Repressors/activators
915,858,SMM: Repressors/activators
915.1,396,noRV
916,1488,SMM: Misc oxidoreductases and oxygenases
917,978,Conserved Hypotheticals
918,1182,SMM: Repressors/activators
919,1563,Conserved Hypotheticals
920,1296,SMM: Energy Metabolism-TCA cycle
921,1608,SMM: Misc oxidoreductases and oxygenases
921.1,264,Unknowns
922,981,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens
923,153,Unknowns
924,531,Conserved Hypotheticals
925,1410,SMM: Two component systems
926,711,SMM: Two component systems
927,1488,SMM: Biosyn of fatty and mycolic acids
928,732,SMM: Degradation of fatty acids
929,1119,MMM: Other membrane proteins
930,1689,MMM: Murein sacculus and peptidoglycan
931,2394,Cell Process: Transport/Binding: cations
932,162,noRV
933,180,Unknowns
934,435,Conserved Hypotheticals
934.1,774,Conserved Hypotheticals
936,270,Conserved Hypotheticals
937,408,noRV
938,1509,SMM: Misc oxidoreductases and oxygenases
939,1239,SMM: Acyltransferases; mycoloyltransferases; and phospholipid synthesis
940,1281,Other: PPE family of proteins
941,300,Other: PE family: PE subfamily
942,1782,Cell Process: Transport/Binding: amino acids
943,258,noRV
944,537,Conserved Hypotheticals
945,501,Conserved Hypotheticals
946,147,noRV
947,1320,Other: IS elements: Others
948,582,Other: IS elements: Others
949,1653,Other: IS elements: Others
950,1065,Unknowns
951,1290,Cell Process: Transport/Binding: cations
952,738,Unknowns
953,1077,Conserved Hypotheticals
954,792,SMM: Misc oxidoreductases and oxygenases
955,1170,Cell Process: Transport/Binding: Anions
956,975,Cell Process: Transport/Binding: Anions
957,915,Cell Process: Transport/Binding: Anions
958,1995,SMM: Ser/Thr protein kinases and phosphoprotein phosphatases
959,1113,Cell Process: Transport/Binding: Anions
960,831,Cell Process: Transport/Binding: Anions
961,1125,Cell Process: Transport/Binding: Anions
962,1017,Cell Process: Transport/Binding: Anions
963,906,Cell Process: Transport/Binding: Anions
964,822,Conserved Hypotheticals
965,2280,Conserved Hypotheticals
966,1935,MMM: Degradation of aromatic hydrocarbons
967,867,SMM: Misc oxidoreductases and oxygenases
968,774,Unknowns
968.1,246,Unknowns
969,996,SMM: Misc oxidoreductases and oxygenases
970,501,MMM: DNA replication; repair; recombination and restriction/modification
971,762,SMM: Misc oxidoreductases and oxygenases
972,1662,SMM: Energy metabolism-Glycolysis
973,285,noRV
974,231,MMM: Other membrane proteins
975,654,Unknowns
976,2316,MMM: DNA replication; repair; recombination and restriction/modification
977,999,Conserved Hypotheticals
978,1164,SMM: Energy Metabolism-TCA cycle
979,912,SMM: Energy Metabolism-TCA cycle
980,915,SMM: Misc oxidoreductases and oxygenases
981,912,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens
982,1368,MMM: Other membrane proteins
983,648,SMM: Purine ribonucleotide biosynthesis
984,1572,SMM: Purine ribonucleotide biosynthesis
985,1380,Other: Chelatases
986,2019,Unknowns
987,222,noRV
988,384,Conserved Hypotheticals
989,348,Unknowns
990,675,Unknowns
991,141,noRV
992,801,Conserved Hypotheticals
992.1,417,Unknowns
993,441,Conserved Hypotheticals
994,693,Conserved Hypotheticals
995,360,Conserved Hypotheticals
996,357,Conserved Hypotheticals
997,2379,Cell Process: Transport/Binding: cations
998,633,Unknowns
999.1,810,SMM: Degradation of fatty acids
1000,1167,SMM: Degradation of fatty acids
1001,2004,SMM: Degradation of fatty acids
1002,1596,SMM: Degradation of fatty acids
1003,1149,SMM: Degradation of fatty acids
1003.1,1683,Unknowns
1004,2804,Other: PE family: PGRS subfamily
1006.1,1008,Other: PE family: PGRS subfamily
1007,525,Unknowns
1008,1431,Other: PE family: PGRS subfamily
1009,693,SMM: Two component systems
1010,1515,SMM: Two component systems
1011,1341,MMM: Degradation of Proteins; peptides and glycopeptides
1012,549,SMM: Biosyn of Molybdopterin
1013,456,MMM: Other membrane proteins
1014,747,MMM: Other membrane proteins
1015,2568,MMM: Other membrane proteins
1017,1161,Conserved Hypotheticals
1018,1002,SMM: Biosyn of Menaquinone; PQQ; ubiquinone and other terpenoids
1019,657,Unknowns
1020,354,Unknowns
1021,588,Conserved Hypotheticals
1022,921,SMM: Degradation of Carbon compounds
1023,1281,SMM: Biosyn of Molybdopterin
1024,612,MMM: Ribosomal protein synthesis and modification
1025,1176,Unknowns
1025.1,141,noRV
1025.2,252,noRV
1025.3,210,noRV
1026,264,Unknowns
1027,951,Unknowns
1028,759,Unknowns
1029,618,Unknowns
1030,1209,SMM: Degradation of Amino acids and amines
1031,1512,MMM: Other membrane proteins
1032,858,Conserved Hypotheticals
1033,1314,MMM: Other membrane proteins
1034,1644,SMM: Biosyn of Folic acid
1035,1704,Unknowns
1036,1560,MMM: Aminoacyl tRNA synthases and their modification
1037,504,Conserved Hypotheticals
1038,1089,Conserved Hypotheticals
1039,954,MMM: Ribosome modification and maturation
1040,921,Conserved Hypotheticals
1040.1,300,Unknowns
1041,1614,SMM: Polyketide and non-ribosomal peptide synthesis
1042,576,MMM: Degradation of RNA
1043,648,MMM: Ribosomal protein synthesis and modification
1044,681,MMM: Cell membrane-Lipoproteins
1045,981,SMM: Purine ribonucleotide biosynthesis
1046,1542,MMM: Murein sacculus and peptidoglycan
1047,609,SMM: Repressors/activators
1048,3705,MMM: DNA replication; repair; recombination and restriction/modification
1049,885,Conserved Hypotheticals
1050,810,MMM: Cell membrane-Lipoproteins
1051,1290,SMM: Energy metabolism-Glycolysis
1052,687,Unknowns
1053,492,Unknowns
1054,960,Cell Process: Adaptations and atypical conditions
1054.1,177,noRV
1055,213,noRV
1056,681,SMM: Two component systems
1057,2616,SMM: Two component systems
1058,1716,Cell Process: Transport/Binding: cations
1059,2130,Cell Process: Transport/Binding: cations
1060,570,Cell Process: Transport/Binding: cations
1061,1530,SMM: Two component systems
1062,831,SMM: Two component systems
1063,390,Other: IS elements: Others
1065,687,Other: IS elements: Others
1066,285,Conserved Hypotheticals
1067,327,Conserved Hypotheticals
1068,1176,Other: PPE family of proteins
1069,828,Other: PE family: PE subfamily
1070,138,noRV
1070.1,249,noRV
1071,309,noRV
1072,928,Other: IS elements: Others
1073,1026,Unknowns
1074,624,Conserved Hypotheticals
1075,882,Unknowns
1075.1,789,Unknowns
1076,1311,noRV
1077,153,noRV
1078,1116,Unknowns
1079,447,SMM: Repressors/activators
1080,909,SMM: Misc oxidoreductases and oxygenases
1081,756,Conserved Hypotheticals
1082,627,noRV
1083,390,Unknowns
1083.1,387,Unknowns
1083.2,339,noRV
1084,357,Other: IS elements: Phage related functions
1085,765,Conserved Hypotheticals
1086,213,noRV
1087,1383,Conserved Hypotheticals
1088,1632,SMM: Degradation of fatty acids
1089,1107,Conserved Hypotheticals
1090,474,Unknowns
1091,864,Conserved Hypotheticals
1092,885,Conserved Hypotheticals
1093,1083,Conserved Hypotheticals
1094,420,MMM: Cell membrane-Lipoproteins
1095,567,Conserved Hypotheticals
1096,396,Conserved Hypotheticals
1096.1,2004,Other: PE family: PGRS subfamily
1096.2,123,noRV
1097,1602,Other: PE family: PGRS subfamily
1098,141,noRV
1099,1812,Conserved Hypotheticals
1100,774,SMM: Degradation of fatty acids
1101,1038,SMM: Degradation of fatty acids
1102,837,MMM: Other membrane proteins
1103,861,Conserved Hypotheticals
1104,1218,SMM: Degradation of fatty acids
1105,957,Conserved Hypotheticals
1106,1077,MMM: Esterases and Lipases
1107,111,noRV
1108,1395,SMM: Amino acid synthesis-Serine family
1109,723,Conserved Hypotheticals
1110,1167,SMM: Amino acid synthesis-Aspartate family
1111,495,MMM: Protein translation and modification
1112,462,Unknowns
1113,867,Other: Antibiotic production and resistance
1114,267,Conserved Hypotheticals
1115,2022,Conserved Hypotheticals
1116,120,noRV
1117,729,Other: Virulence
1118,789,Conserved Hypotheticals
1118.1,2309,Other: PE family: PGRS subfamily
1118.2,321,noRV
1119,453,Other: PE family: PE subfamily
1120,168,Other: PE family: PE subfamily
1121,183,noRV
1122,456,MMM: Degradation of Polysaccharides; lipopolysaccharides and phospholipids
1122.1,150,noRV
1123,1908,Other: PE family: PGRS subfamily
1124,939,SMM: Biosyn of Pantothenate
1125,1281,SMM: Amino acid synthesis-Serine family
1126,828,SMM: Modification of fatty & mycolic acids
1127,1302,SMM: Degradation of phosphorous compounds
1128,876,SMM: Degradation of Carbon compounds
1129,882,MMM: Other membrane proteins
1130,1425,SMM: Energy Metabolism-TCA cycle
1131,987,Conserved Hypotheticals
1132,552,Conserved Hypotheticals
1133,1158,MMM: Other membrane proteins
1134,312,Conserved Hypotheticals
1135,237,Unknowns
1136,1526,MMM: Esterases and Lipases
1137,1113,SMM: Misc oxidoreductases and oxygenases
1138,273,MMM: Degradation of DNA
1139,1248,MMM: Degradation of DNA
1140,639,Unknowns
1141,990,MMM: Murein sacculus and peptidoglycan
1142,984,Unknowns
1143,1074,Conserved Hypotheticals
1143.1,198,Unknowns
1144,375,Conserved Hypotheticals
1145,699,Unknowns
1147,234,Unknowns
1148,276,noRV
1149,324,Conserved Hypotheticals
1150,861,Unknowns
1151,201,Unknowns
1152,495,Conserved Hypotheticals
1153,1401,SMM: Energy metabolism- Pentose phosphate pathway
1154,1023,SMM: Energy metabolism- Pentose phosphate pathway
1155,936,Cell Process: Detoxification
1156,951,Cell Process: Detoxification
1157,582,Unknowns
1157.1,600,noRV
1158,606,Conserved Hypotheticals
1159,1473,SMM: Intermediate Metabolism-General
1160,1263,Other: IS elements: REP13E12 family
1161,1461,SMM: Repressors/activators
1162,1581,Conserved Hypotheticals
1163,1182,SMM: Energy Metabolism-TCA cycle
1164,1782,MMM: Other membrane proteins
1165,2280,SMM: Amino acid synthesis-Aspartate family
1166,120,noRV
1167,237,Unknowns
1168,1911,Other: PPE family of proteins
1169,243,noRV
1169.1,342,SMM: Degradation of fatty acids
1170,405,Unknowns
1171,1017,Conserved Hypotheticals
1172,375,Conserved Hypotheticals
1172.1,219,noRV
1173,849,Conserved Hypotheticals
1174,807,SMM: Degradation of fatty acids
1175,807,SMM: Degradation of fatty acids
1176,1188,SMM: Degradation of fatty acids
1177,753,SMM: Misc oxidoreductases and oxygenases
1178,156,Cell Process: Efflux proteins
1179.1,2345,Cell Process: Efflux proteins
1180,651,Other: Miscellaneous Transferases
1181,333,noRV
1182,303,noRV
1183,1500,noRV
1184,928,noRV
1185,714,SMM: Repressors/activators
1186,366,SMM: Repressors/activators
1187,849,SMM: Polyketide and non-ribosomal peptide synthesis
1188,588,Unknowns
1189,384,Unknowns
1190,189,noRV
1191,588,Unknowns
1192,147,noRV
1193,1116,Conserved Hypotheticals
1194,693,Conserved Hypotheticals
1195,1299,MMM: Other membrane proteins
1196,306,noRV
1197,426,MMM: DNA replication; repair; recombination and restriction/modification
1198,3699,SMM: Respiration- anaerobic
1199,1677,SMM: Respiration- anaerobic
1200,621,SMM: Respiration- anaerobic
1201,726,SMM: Respiration- anaerobic
1202,1887,Conserved Hypotheticals
1203,1908,MMM: Cell membrane-Lipoproteins
1204,606,SMM: Repressors/activators
1205,1041,Other: PPE family of proteins
1206,321,Other: PE family: PE subfamily
1207,912,Other: Antibiotic production and resistance
1208,468,Unknowns
1209,927,Other: PE family: PE subfamily
1210,2571,Conserved Hypotheticals
1211,333,Unknowns
1212,2025,SMM: Degradation of fatty acids
1213,744,Conserved Hypotheticals
1214,327,SMM: Respiration-Electron Transport
1215,1089,Other: Miscellaneous Transferases
1216,771,noRV
1217,2106,Unknowns
1218,6306,SMM: Polyketide and non-ribosomal peptide synthesis
1219,1419,SMM: Polyketide and non-ribosomal peptide synthesis
1220,3009,MMM: Conserved membrane proteins
1221,1116,Conserved Hypotheticals
1222,1737,SMM: Degradation of fatty acids
1223,1617,Unknowns
1224,1632,SMM: Degradation of Amino acids and amines
1225,990,SMM: Misc oxidoreductases and oxygenases
1226,873,MMM:RNA synthesis; RNA modification and DNA transcription
1227,879,Conserved Hypotheticals
1228,957,Conserved Hypotheticals
1229,828,Unknowns
1230,1422,SMM: Degradation of fatty acids
1231,1266,Conserved Hypotheticals
1232,228,noRV
1233,336,Other: PE family: PE subfamily
1234,1176,Other: PPE family of proteins
1235,297,noRV
1236,285,noRV
1237,1311,noRV
1238,1278,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols
1239,954,Conserved Hypotheticals
1240,1065,SMM: Amino acid synthesis-Aspartate family
1241,585,Unknowns
1242,1689,Conserved Hypotheticals
1243,564,Conserved Hypotheticals
1244,1794,SMM: Degradation of fatty acids
1245,957,SMM: Biosyn of Folic acid
1246,975,Conserved Hypotheticals
1247,369,Conserved Hypotheticals
1248,615,MMM: DNA replication; repair; recombination and restriction/modification
1249,273,Conserved Hypotheticals
1250,1164,MMM: Other membrane proteins
1251,1215,SMM: Intermediate Metabolism-General
1252,333,Other: PE family: PE subfamily
1253,1686,Conserved Hypotheticals
1254,675,Conserved Hypotheticals
1255,1647,MMM: Other membrane proteins
1256,936,MMM: Other membrane proteins
1257,639,SMM: Repressors/activators
1258,648,Other: Miscellaneous Transferases
1259,774,MMM:RNA synthesis; RNA modification and DNA transcription
1260,660,Unknowns
1261,1587,MMM: Degradation of Proteins; peptides and glycopeptides
1262,396,Conserved Hypotheticals
1263,831,Conserved Hypotheticals
1264,1464,MMM: Other membrane proteins
1264.1,594,noRV
1265,558,MMM: Other membrane proteins
1266,174,MMM: Cell membrane-Lipoproteins
1267,1173,Conserved Hypotheticals
1268,1236,MMM: Other membrane proteins
1269,543,Unknowns
1270,1308,Unknowns
1271,606,Unknowns
1272,528,Unknowns
1273,1407,MMM: Cell membrane-Lipoproteins
1274,924,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols
1275,825,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols
1276,1182,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols
1277,1101,Cell Process: Transport/Binding: cations
1278,990,SMM: Energy Metabolism-TCA cycle
1279,297,Conserved Hypotheticals
1280,432,Conserved Hypotheticals
1280.1,1761,Other: PE family: PGRS subfamily
1281,861,MMM: Cell membrane-Lipoproteins
1283,831,SMM: Misc oxidoreductases and oxygenases
1284,432,Conserved Hypotheticals
1285,120,Conserved Hypotheticals
1286,3696,SMM: Energy Metabolism-TCA cycle
1287,789,MMM: Other membrane proteins
1288,153,noRV
1289,1740,Cell Process: Efflux proteins
1290,3444,Unknowns
1291,609,MMM: Cell membrane-Lipoproteins
1292,1692,MMM:RNA synthesis; RNA modification and DNA transcription
1293,1152,Other: Miscellaneous Transferases
1294,609,SMM: Repressors/activators
1295,1218,Other: Cytochrome P450 enzymes
1296,1368,SMM: Misc oxidoreductases and oxygenases
1297,1260,Cell Process: Efflux proteins
1297.1,807,Unknowns
1298,1152,SMM: Misc oxidoreductases and oxygenases
1299,450,Conserved Hypotheticals
1300,471,Conserved Hypotheticals
1301,1389,Other: Miscellaneous phosphatases; lyases and hydrolases
1302,1194,Other: Cyclases
1303,681,Unknowns
1304,1881,SMM: Ser/Thr protein kinases and phosphoprotein phosphatases
1305,1167,SMM: Repressors/activators
1305.1,303,noRV
1306,699,Unknowns
1307,423,Conserved Hypotheticals
1308,735,MMM: Cell membrane-Lipoproteins
1309,348,Conserved Hypotheticals
1310,1896,MMM: Other membrane proteins
1311,1749,MMM: Other membrane proteins
1312,573,MMM: Cell membrane-Lipoproteins
1312.1,591,MMM: Cell membrane-Lipoproteins
1313,507,Unknowns
1314,1254,Unknowns
1315,2628,Unknowns
1316,1587,SMM: Misc oxidoreductases and oxygenases
1317,1776,Cell Process: Transport/Binding: amino acids
1318,1839,Cell Process: Transport/Binding: amino acids
1319,876,Cell Process: Transport/Binding: amino acids
1320,978,Cell Process: Transport/Binding: amino acids
1321,147,noRV
1322,492,Conserved Hypotheticals
1323,930,SMM: Intermediate Metabolism-of sulphur
1324,1845,SMM: Intermediate Metabolism-of sulphur
1325,486,Conserved Hypotheticals
1326,1371,Conserved Hypotheticals
1327,633,Unknowns
1328,1524,Unknowns
1329,369,Conserved Hypotheticals
1330,96,noRV
1330.1,546,noRV
1331,1653,MMM: Aminoacyl tRNA synthases and their modification
1332,1344,SMM: Amino acid synthesis-Aspartate family
1333,1326,SMM: Amino acid synthesis-Aspartate family
1334,1083,SMM: Amino acid synthesis-Aspartate family
1335,951,SMM: Amino acid synthesis-Aspartate family
1336,1809,MMM:RNA synthesis; RNA modification and DNA transcription
1337,243,MMM: Ribosomal protein synthesis and modification
1338,1074,MMM: Protein translation and modification
1339,915,SMM: Biosyn of Heme and Porphyrin
1340,654,Conserved Hypotheticals
1341,1218,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens
1342,99,noRV
1343,486,Conserved Hypotheticals
1344,753,SMM: ATP-proton motive force
1345,246,SMM: ATP-proton motive force
1346,516,SMM: ATP-proton motive force
1347,1341,SMM: ATP-proton motive force
1348,1650,SMM: ATP-proton motive force
1349,918,SMM: ATP-proton motive force
1350,1461,SMM: ATP-proton motive force
1351,366,SMM: ATP-proton motive force
1352,444,Conserved Hypotheticals
1353,1335,Other: IS elements: Others
1354,582,Conserved Hypotheticals
1355,1257,MMM: Murein sacculus and peptidoglycan
1356,150,noRV
1357,522,MMM: DNA replication; repair; recombination and restriction/modification
1358,1491,MMM: DNA replication; repair; recombination and restriction/modification
1359,1626,Other: Cyclases
1360,1599,noRV
1361,1677,Other: Cyclases
1362,1704,Other: Cyclases
1363,681,Conserved Hypotheticals
1363.1,297,Unknowns
1364,459,noRV
1365,1170,SMM: Degradation of fatty acids
1366,915,Unknowns
1367,1608,Other: PE family: PGRS subfamily
1367.1,117,noRV
1368,2196,MMM: Polysaccharides (cytoplasmic)
1369,2214,MMM: Degradation of Polysaccharides; lipopolysaccharides and phospholipids
1370,2592,MMM: Polysaccharides (cytoplasmic)
1371,1995,MMM: DNA replication; repair; recombination and restriction/modification
1372,1347,Conserved Hypotheticals
1373,306,Conserved Hypotheticals
1374,657,SMM: Repressors/activators
1375,1035,MMM: Degradation of Polysaccharides; lipopolysaccharides and phospholipids
1376,441,Conserved Hypotheticals
1376.1,282,Conserved Hypotheticals
1377,972,SMM: Amino acid synthesis-Serine family
1378,684,Conserved Hypotheticals
1379,816,MMM: Murein sacculus and peptidoglycan
1380,822,Conserved Hypotheticals
1381,780,MMM: Degradation of RNA
1382,615,Conserved Hypotheticals
1383,363,SMM: Polyketide and non-ribosomal peptide synthesis
1384,381,Conserved Hypotheticals
1385,321,SMM: Biosyn of fatty and mycolic acids
1387,1398,SMM: Degradation of fatty acids
1388,1161,SMM: Degradation of fatty acids
1389,633,Other: Antibiotic production and resistance
1390,2580,MMM: Other membrane proteins
1392,1740,MMM: Other membrane proteins
1393,744,SMM: Biosyn of fatty and mycolic acids
1394,330,Unknowns
1395,372,Conserved Hypotheticals
1396,786,SMM: Repressors/activators
1397,1872,Conserved Hypotheticals
1398,1929,SMM: Biosyn of Molybdopterin
1399,792,Unknowns
1400,924,Conserved Hypotheticals
1401,141,noRV
1402,3480,SMM: Repressors/activators
1403,762,SMM: Repressors/activators
1404,237,noRV
1405,1023,Other: Coenzyme F420-dependent enzymes
1406,1191,Other: PPE family of proteins
1407,663,Conserved Hypotheticals
1408,594,Conserved Hypotheticals
1409,225,noRV
1410,2046,MMM:RNA synthesis; RNA modification and DNA transcription
1411,387,Conserved Hypotheticals
1412,822,Unknowns
1413,261,noRV
1414,1206,MMM: Murein sacculus and peptidoglycan
1414.1,147,noRV
1415,786,MMM: Cell membrane-Lipoproteins
1416,1626,Unknowns
1417,1182,SMM: Polyketide and non-ribosomal peptide synthesis
1418,963,Other: `<Miscellaneous Transferases
1418.1,459,Unknowns
1419,1320,Conserved Hypotheticals
1420,1494,Conserved Hypotheticals
1421,681,Other: Miscellaneous Transferases
1422,1428,Conserved Hypotheticals
1423,582,SMM: Repressors/activators
1424,960,SMM: Pyrimidine ribonucleotide biosynthesis
1425,1293,SMM: Pyrimidine ribonucleotide biosynthesis
1426,498,Unknowns
1427,1095,SMM: Pyrimidine ribonucleotide biosynthesis
1428,3348,SMM: Pyrimidine ribonucleotide biosynthesis
1429,825,SMM: Pyrimidine ribonucleotide biosynthesis
1430,309,Other: PE family: PE subfamily
1431,1620,Other: PPE family of proteins
1432,252,MMM: Nucleoproteins
1433,336,SMM: Purine ribonucleotide biosynthesis
1434,654,noRV
1435,402,Unknowns
1436,1257,SMM: Misc oxidoreductases and oxygenases
1437,1221,SMM: Amino acid synthesis-Aspartate family
1438,1479,SMM: Misc oxidoreductases and oxygenases
1439,1386,Other: Cytochrome P450 enzymes
1440,1035,SMM: Repressors/activators
1440.1,1730,Other: PE family: PGRS subfamily
1441,402,Conserved Hypotheticals
1442,270,Conserved Hypotheticals
1443,960,MMM: Esterases and Lipases
1444,963,MMM: Esterases and Lipases
1445,786,MMM: Other membrane proteins
1446,1965,MMM: DNA replication; repair; recombination and restriction/modification
1447,825,Other: Miscellaneous Transferases
1448,528,SMM: Repressors/activators
1449,825,Other: Miscellaneous Transferases
1450,939,MMM: Aminoacyl tRNA synthases and their modification
1451,1374,MMM: Nucleoproteins
1452,690,SMM: Energy metabolism- Pentose phosphate pathway
